district,sponsering_bank,target_fy_2025_26_number_of_training_programmes_to_be_conducted,number_of_trainees_to_be_trained,performance_during_the_financial_year_2025_26_up_to_the_end_of_june_2025_number,pct_of_achievement_to_target_for_no_of_training_programmes_conducted,number_of_trainees_trained,pct_of_achievement_to_target_for_no_of_trainees_trained,col_9
Bokaro,BANK OF INDIA,42,1100,9,21.43,270,24.55,
Chatra,BANK OF INDIA,40,1050,8,20.00,245,23.33,
Deoghar,STATE BANK OF INDIA,40,1000,8,20.00,257,25.70,
Dhanbad,BANK OF INDIA,41,1100,9,21.95,227,23.36,
Dumka,INDIAN BANK,40,1000,10,25.00,279,27.90,
East Singhbhum,BANK OF INDIA,42,1050,9,21.43,274,24.95,
Garhwa,STATE BANK OF INDIA,40,1000,5,12.50,166,13.10,
Giridih,BANK OF INDIA,36,1100,8,22.22,216,19.64,
Godda,INDIAN BANK,36,1000,6,16.67,181,18.10,
Gumla,BANK OF INDIA,42,1050,12,28.57,329,31.33,
Hazaribagh,INDIAN BANK,40,1000,8,20.00,239,23.90,
Jamtara,STATE BANK OF INDIA,40,1000,5,12.50,135,13.50,
Khunti,BANK OF INDIA,36,900,10,27.78,313,34.78,
Koderma,BANK OF INDIA,34,850,9,26.47,250,29.41,
Latehar,STATE BANK OF INDIA,40,1000,10,25.00,315,31.50,
Lohardaga,BANK OF INDIA,34,850,7,20.59,188,22.12,
Pakur,STATE BANK OF INDIA,40,1000,10,25.00,271,27.10,
Palamu,STATE BANK OF INDIA,35,1000,8,22.86,246,24.60,
Ramgarh,BANK OF INDIA,37,850,5,13.51,129,12.90,
Ranchi,RUDSETICANARA BANK,37,1000,9,24.32,271,27.10,
Sahibganj,STATE BANK OF INDIA,40,1000,8,20.00,248,24.90,
Simdega,BANK OF INDIA,40,1000,9,22.50,254,25.40,
West Singhbhum,BANK OF INDIA,39,1100,9,23.08,280,25.45,
