district,as_on_30th_june_2025_export_credit_o_s_nos,o_s_amt,npa_nos,npa_amt,npa_nos_pct,npa_amt_pct,education_priority_o_s_nos,o_s_amt,npa_nos,npa_amt,npa_nos_pct,npa_amt_pct,housing_priority_o_s_nos,o_s_amt,npa_nos,npa_amt,npa_nos_pct,npa_amt_pct,social_infrastructure_priority_o_s_nos,o_s_amt,npa_nos,npa_amt,npa_nos_pct,npa_amt_pct
Bokaro,,,,,0.00,0.00,3431,13616.04,215,638,6.27,4.69,3701,45630.38,76,696,2.05,1.52,4,12.37,1,1,25.00,6.68
Chatra,,,,,0.00,0.00,237,771.74,63,106,26.58,13.72,204,2131.63,12,68,5.88,3.21,1,0.47,1,0,100.00,100.00
Deoghar,,,,,0.00,0.00,1162,4755.25,113,259,9.72,5.45,1631,15545.25,32,104,1.96,0.67,2,7.63,,,0.00,0.00
Dhanbad,1,2009.00,,,,,5485,20431.71,369,913,6.73,4.47,8910,102639.73,254,1449,2.85,1.41,4,1.06,,,0.00,0.00
Dumka,,,,,0.00,0.00,244,821.52,39,86,15.98,10.53,794,7127.66,10,45,1.26,0.62,5,1.32,2,0,40.00,8.01
East Singhbhum,,,,,0.00,0.00,7944,40377.88,446,1055,5.61,2.61,10326,116128.44,288,2277,2.79,1.96,72,52.07,1,36,1.39,68.46
Garhwa,,,,,0.00,0.00,277,933.88,40,111,14.44,11.88,309,3152.03,4,31,1.29,0.97,13,76.57,3,7,23.08,9.71
Giridih,27,6758.64,,,,,1050,3377.27,188,365,17.90,10.81,991,10522.14,31,207,3.13,1.97,23,10.30,,,0.00,0.00
Godda,,,,,0.00,0.00,404,1390.14,47,135,11.63,9.72,1100,11990.30,6,42,0.55,0.35,,,,,0.00,0.00
Gumla,,,,,0.00,0.00,466,1203.30,62,124,13.30,10.34,329,3494.65,24,137,7.29,3.91,1,0.10,1,0,100.00,100.00
Hazaribagh,,,,,0.00,0.00,1512,5783.40,218,625,14.42,10.81,2615,26231.20,125,819,4.78,3.12,11,6.60,1,0,9.09,4.47
Jamtara,,,,,0.00,0.00,405,693.34,20,53,4.94,7.71,353,2429.88,4,18,1.13,0.75,,,,,0.00,0.00
Khunti,,,,,0.00,0.00,172,600.49,20,35,11.63,5.91,265,2774.27,7,49,2.64,1.78,4,11.33,,,0.00,0.00
Koderma,,,,,0.00,0.00,565,1992.21,63,141,11.15,7.06,609,5816.20,63,298,10.34,5.12,1,0.21,1,0,100.00,100.00
Latehar,,,,,0.00,0.00,255,646.74,21,62,8.24,9.61,203,2287.05,14,97,6.90,4.26,,,,,0.00,0.00
Lohardaga,,,,,0.00,0.00,227,822.43,53,166,23.35,20.19,288,2671.49,13,76,4.51,2.85,1,,,,0.00,0.00
Pakur,,,,,0.00,0.00,108,330.54,16,38,14.81,11.59,404,3858.53,4,23,0.99,0.59,8,1.65,1,0,12.50,11.66
Palamu,,,,,0.00,0.00,799,2764.73,128,402,16.02,14.54,843,8105.73,20,83,2.37,1.03,17,250.61,1,0,5.88,0.07
Ramgarh,,,,,0.00,0.00,1086,3956.71,86,256,7.92,6.48,1002,11076.95,29,111,2.89,1.00,8,24.16,2,0,25.00,0.13
Ranchi,5,25687.00,,,,,11939,60551.49,766,2155,6.42,3.56,13979,198398.13,287,2692,2.05,1.36,158,79.64,6,44,3.80,54.98
Sahibganj,,,,,0.00,0.00,553,1208.13,83,175,15.01,14.46,618,4832.08,7,27,1.13,0.56,,,,,0.00,0.00
Seraikela-Kharsawan,,,,,0.00,0.00,2130,6726.38,84,241,3.94,3.58,1793,18311.53,53,182,2.96,1.00,1,0.49,,,0.00,0.00
Simdega,,,,,0.00,0.00,158,393.66,32,79,20.25,20.10,148,1495.18,4,8,2.70,0.56,1,0.22,1,0,100.00,100.00
West Singhbhum,,,,,0.00,0.00,1453,5785.48,135,354,9.29,6.12,1003,11190.42,32,199,3.19,1.78,1,0.19,1,0,100.00,100.00
