district,as_on_30th_june_2025_loans_to_small_and_marginal_farmers_no,amt,loans_to_sc_st_no,amt,loans_to_shgs_no,amt,loans_to_minority_communities_no,amt,od_under_pmjdy_no,amt,beneficiaries_of_dri_scheme_no,amt,loans_upto_₹_1_lakh_to_women_beneficiaries_no,amt,other_loans_to_weaker_sections_no,amt,total_advances_to_weaker_sections_no,amt,pct_of_loans_to_weaker_sections_to_total_advance_amt
Bokaro,75395,64974.05,13919,18723.77,4158,9861.15,7907,17364.13,3832,1942.28,311,28.64,33236,10785.51,7743,9973.29,118975,104321.00,11.24
Chatra,71182,58943.23,13382,12317.12,3969,9999.33,6071,6548.53,3984,3493.94,10,0.59,15848,5220.16,1569,4692.23,81869,67591.12,40.58
Deoghar,94112,64698.60,20427,17255.56,6135,12421.86,15954,16794.02,8909,6952.51,37,20.03,24712,8828.31,4039,4629.50,121933,86361.77,18.26
Dhanbad,204357,83422.96,55061,25656.94,2824,6624.30,50440,37100.68,4822,1603.76,391,37.99,215855,52456.35,11984,13891.92,319718,157202.98,9.19
Dumka,82735,54277.72,25792,22520.83,7982,16426.07,12853,11807.21,8283,7497.54,20,1.79,39299,13432.88,3754,7428.24,103802,68568.66,27.94
East Singhbhum,108058,94523.75,31412,33489.44,5637,15879.18,12453,54970.89,5950,5780.58,582,65.57,54846,17179.67,6237,13755.76,174856,179829.39,7.37
Garhwa,93055,77511.10,31079,25507.35,10419,20276.12,15209,15364.14,10163,11638.57,52,3.75,32538,12152.51,2180,3064.80,100745,80870.79,43.30
Giridih,138206,95998.75,27745,19176.60,6905,17287.53,21098,19874.65,4033,3555.23,81,9.77,61563,18824.58,4765,6619.23,185094,131624.02,24.96
Godda,80943,65481.67,21727,18903.26,5176,13097.18,14079,12712.78,6382,5258.14,30,2.71,34849,13309.25,5479,11197.38,104804,82002.68,36.49
Gumla,60892,48478.53,11850,11406.19,3254,9833.11,7075,6865.56,3707,3161.41,53,5.32,6988,2609.12,824,1127.74,70840,57545.58,38.97
Hazaribagh,113565,101775.94,19915,22709.69,7404,19044.20,12715,25079.48,5131,4786.22,70,38.11,38357,13491.54,6401,11423.79,151945,137171.24,19.56
Jamtara,54706,40613.22,15305,11472.71,3034,5728.81,9595,7298.39,5952,4193.62,38,4.91,9580,3637.78,2184,4119.37,59623,44232.38,41.20
Khunti,37639,26543.76,13086,9036.01,2131,5662.30,2250,2812.02,1672,951.84,8,4.04,9958,2635.81,4046,2676.02,42448,31228.93,28.24
Koderma,42731,40308.82,5426,7675.09,1503,4129.47,3120,5505.42,995,1024.85,23,30.86,14084,4792.60,1823,4100.43,63031,54118.03,24.13
Latehar,38606,41358.24,13165,14065.01,4901,12663.13,6856,8013.29,4343,4707.44,17,1.76,8608,3250.02,1612,5216.87,42405,44933.59,34.55
Lohardaga,40068,33958.99,6689,6285.36,1660,4554.33,5023,5704.70,1678,1618.68,41,11.44,7205,2221.97,474,424.05,48333,41325.16,37.66
Pakur,47280,45529.91,16667,15219.93,3591,8672.97,12698,14718.48,2615,2813.91,6,4.48,35036,12196.47,6060,14412.83,72429,60604.99,41.96
Palamu,138639,117193.37,47582,40120.80,12627,24448.08,21011,22239.28,15599,18087.18,51,4.04,53393,19185.84,4391,11056.87,160912,127633.43,34.93
Ramgarh,45217,35048.11,13538,13158.50,2742,6399.40,5546,8545.14,2582,939.80,150,43.64,26399,7683.57,4972,3760.71,66804,56065.81,12.97
Ranchi,936617,367445.25,335093,139943.52,12086,33472.63,297348,137276.93,14284,8031.15,537,71.96,62166,22975.67,19573,28829.82,1030229,472548.46,10.02
Sahibganj,59842,51010.79,23400,19575.05,6275,13412.25,11878,14321.41,4215,4277.00,15,0.97,34160,14178.52,4092,6797.47,84624,68079.84,41.34
Seraikela-Kharsawan,149781,77721.25,52866,25039.70,4087,12018.54,20422,10870.05,5940,3538.13,253,25.91,16427,5156.12,1342,1668.19,174068,94798.16,18.85
Simdega,30224,25668.06,7392,6145.74,2913,7809.68,4222,4363.03,2221,1414.42,27,2.08,5013,1785.52,254,529.41,35253,30843.77,42.13
West Singhbhum,80888,65467.26,28327,27455.36,8114,26278.25,10320,13845.55,10775,4373.09,364,28.01,18966,5877.39,1097,2470.71,101414,90524.90,17.04
