district,pmegp_outstanding_no,amt,npa_no,amt,npa_pct,mudra_loans_outstanding_no,amt,npa_no,amt,npa_pct,stand_up_india_outstandi_ng_no,amt,npa_no,amt,npa_pct,shg_nrlm_nulm_outstanding_no,amt,npa_no,amt,npa_pct
Bokaro,1007,3439.69,380,1032.85,30.03,122058,90206.77,26570,13410.60,14.87,186,2949.92,56,529.66,17.96,13997,37479.12,389,282.77,0.75
Chatra,556,1400.52,217,430.10,30.71,50186,36907.57,11608,4809.15,13.03,62,669.82,13,140.58,20.99,10271,26625.39,381,222.19,0.83
Deoghar,1089,3438.73,389,725.20,21.09,49410,42082.78,6283,4879.22,11.59,170,2122.03,17,252.33,11.89,10175,22092.08,608,516.39,2.34
Dhanbad,1553,4170.27,609,1389.61,33.32,273702,138009.54,35826,15035.19,10.89,314,4501.55,76,752.02,16.71,10905,27717.37,383,217.17,0.78
Dumka,1326,2716.63,440,694.06,25.55,60028,31596.17,9674,3929.73,12.44,79,1164.38,2,0.12,0.01,11262,26013.27,351,322.61,1.24
East Singhbhum,1462,5610.78,430,1087.45,19.38,177938,133924.18,29956,16448.81,12.28,388,5045.14,82,728.15,14.43,14842,44443.07,433,333.02,0.75
Garhwa,406,1146.09,90,169.24,14.77,84094,37368.91,21582,5873.11,15.72,39,376.87,3,3.03,0.80,12058,24562.84,138,77.37,0.31
Giridih,1167,3444.58,342,691.61,20.08,253616,123000.99,49436,16417.68,13.35,117,1714.43,13,84.00,4.90,18232,47179.85,686,488.17,1.03
Godda,1125,2826.65,291,554.43,19.61,80330,39970.51,17489,6460.30,16.16,68,1090.40,8,70.03,6.42,9829,27043.62,266,258.17,0.95
Gumla,891,2676.67,252,613.56,22.92,49610,30723.91,8043,3390.50,11.04,46,526.19,8,58.10,11.04,7710,22391.28,528,509.17,2.27
Hazaribagh,1403,4237.16,519,1195.11,28.21,129210,97206.66,20708,11948.26,12.29,183,2107.36,57,327.00,15.52,16366,47617.37,390,257.14,0.54
Jamtara,596,1110.01,164,186.11,16.77,16446,13668.15,2124,1443.14,10.56,23,298.08,1,0.02,0.01,6655,14260.69,248,356.04,2.50
Khunti,501,1067.31,149,248.80,23.31,20094,15589.34,2569,1672.72,10.73,25,302.93,2,8.09,2.67,5303,14710.66,129,164.26,1.12
Koderma,685,1699.83,260,550.27,32.37,72539,53384.52,10868,5400.20,10.12,81,743.73,25,158.57,21.32,7134,23526.66,236,236.45,1.01
Latehar,350,694.38,80,121.18,17.45,30875,16612.79,9835,2821.31,16.98,106,1345.35,1,0.01,0.00,8208,21577.57,239,130.51,0.60
Lohardaga,712,1383.97,257,355.10,25.66,22335,23317.69,4440,2972.12,12.75,34,321.05,4,18.11,5.64,4859,14048.95,306,430.69,3.07
Pakur,886,2153.71,281,551.97,25.63,110729,43021.76,13998,4269.73,9.92,42,797.27,3,13.87,1.74,7809,21910.63,322,289.10,1.32
Palamu,467,1284.20,173,302.63,23.57,125602,60599.94,33857,11949.78,19.72,111,1144.07,8,52.26,4.57,17069,35906.67,363,357.20,0.99
Ramgarh,619,2072.57,197,491.26,23.70,83598,57101.34,17273,7982.95,13.98,118,1165.00,24,197.12,16.92,6688,18841.73,218,238.85,1.27
Ranchi,1907,6727.74,789,2014.47,29.94,215934,180207.59,37182,24845.07,13.79,734,10811.61,163,2103.68,19.46,19869,58424.25,840,1316.56,2.25
Sahibganj,859,2184.55,251,503.06,23.03,88459,37246.77,22438,6287.87,16.88,46,636.17,2,0.70,0.11,9579,23133.47,179,166.44,0.72
Simdega,491,1085.26,182,298.66,27.52,13640,14386.00,1372,1458.20,10.14,29,235.38,5,29.56,12.56,5531,14462.16,162,144.17,1.00
West Singhbhum,674,1935.59,231,436.21,22.54,54480,45349.39,9835,5378.49,11.86,56,1436.99,9,835.55,58.15,11686,36866.64,217,227.29,0.62
