district,christians_no,amt,muslims_no,amt,buddhists_no,amt,sikhs_no,amt,zorastrians_no,amt,jains_no,amt,total_no,amt
Bokaro,162,480.81,2368,5620.11,91,203.15,50,641.41,1,6.50,26,1721.66,2698,8673.64
Chatra,126,200.77,799,1344.74,1,0.43,10,34.22,1,3.00,2,9.28,939,1592.43
Deoghar,290,363.50,2941,3211.42,18,61.34,16,42.20,,,2,10.49,3267,3688.95
Dhanbad,332,819.46,8955,11863.34,76,74.52,126,1302.50,,,22,1486.96,9511,15546.78
Dumka,395,668.61,1083,1297.37,6,1.54,2,3.04,1,6.00,3,2.95,1490,1979.51
East Singhbhum,366,1262.99,2766,11119.83,133,293.74,579,8611.85,4,10.28,26,434.45,3874,21733.13
Garhwa,183,349.76,1120,1512.09,7,3.05,,,,,2,1.78,1312,1866.69
Giridih,206,488.23,4821,6771.61,5,2.06,23,259.82,2,0.49,31,431.05,5088,7953.26
Godda,254,348.06,2093,2550.16,7,0.28,4,1.09,,,2,1.18,2360,2900.77
Gumla,679,1227.07,460,812.09,1,3.00,10,53.76,,,3,19.70,1153,2115.62
Hazaribagh,218,693.01,2782,5773.79,27,23.54,30,740.43,3,4.49,87,249.92,3147,7485.19
Jamtara,226,247.51,1370,1360.65,2,0.08,4,3.91,,,8,116.97,1610,1729.11
Khunti,606,1051.90,243,580.72,16,3.45,9,48.67,2,25.25,2,3.10,878,1713.09
Koderma,47,127.83,1238,1831.31,,,16,51.27,,,13,140.62,1314,2151.03
Latehar,177,448.48,629,1205.90,3,3.80,2,2.74,,,1,0.50,812,1661.42
Lohardaga,168,431.65,1284,1688.15,1,0.26,2,5.92,1,4.97,4,4.90,1460,2135.85
Pakur,221,348.80,4868,5831.10,,,15,56.78,1,0.01,5,102.33,5110,6339.01
Palamu,269,550.57,1395,2445.65,4,9.60,12,152.84,,,5,49.60,1685,3208.25
Ramgarh,99,431.59,1210,3118.98,8,9.24,56,770.14,,,18,678.21,1391,5008.16
Ranchi,3169,7392.59,39932,30041.36,244,205.22,149,3412.47,1,10.33,47,2323.12,43542,43385.09
Sahibganj,337,387.43,2726,3598.50,2,25.00,7,7.18,,,,,3072,4018.11
Seraikela-Kharsawan,211,320.08,2284,1671.28,7,21.21,20,90.41,,,5,3.26,2527,2106.25
Simdega,1031,1564.94,278,577.23,2,2.39,2,15.50,,,4,15.54,1317,2175.61
West Singhbhum,371,934.92,550,1362.79,9,4.46,33,267.44,,,5,4.64,968,2574.24
