district,doubling_of_farmers_income_by_june_25,growth_in_no_of_amount_in_agriculture_infrastructure_no_of_amount_ad,crop_insurance_growth_in_number_of_claims_received_and_settled_ae,market_development_linkage_growth_in_number_of_fpos_financed_by_banks_af,growth_in_amount_in_no_of_fpos_financed_by_banksamount_in_rs_lacs_ag,growth_in_number_of_shgs_jlgs_financed_by_banks_ah,growth_in_amount_of_shgs_jlgs_financed_by_banksamount_in_rs_lacs_s,growth_in_number_of_accounts_against_warehouse_receipts_aj,growth_in_number_of_amount_against_warehouse_receiptsamount_in_rs_lacs_ak
Bokaro,,,,,,5804,15574,,
Chatra,,741,0,0,0,6138,6041.24,0,0
Deoghar,,262.66,0,2,10.7,1499,4329.42,0,0
Dhanbad,,,,,,,,,
Dumka,,0,0,0,0,1527,4581,0,0
Garhwa,,80.48,0,0,0,854,1583.27,0,0
Giridih,,3.06,,0,0,120,3835.00,0,0
Godda,,0,0,0,0,12800,14350,0,0
Gumla,,0,0,0,0,1332,2999.33,0,0
Hazaribagh,,89.92,0,10,85.28,10706,14152,0,0
Jamtara,,,,,,887,805.00,,
Khunti,,0,0,0,0,0,0,0,0
Koderma,,0,0,0,0,16405,102.8,0,0
Latehar,,55,,,,459,459,,
Lohardaga,,0,0,0,0,11034,20485,0,0
Pakur,,0,0,0,0,7353,9979,0,0
Palamu,,-217.87,,,,-2097,2021,,
Ramgarh,,,,,,2387,,,
Ranchi,,0,0,5120,5324,0,0,0,0
Sahibganj,,2.7,,,,5565,4255.60,,
Simdega,,,,,,41,152.91,,
