district,shishu_outstanding_no,amt,npa_no,amt,kishor_outstanding_no,amt,npa_no,amt,tarun_outstanding_no,amt,[no_in_actual_and_amt_in_lakh]_npa_no,amt,tarun_plus_outstanding_no,amt,npa_no,amt,pmmy_outstanding_no,amt,npa_no,amt
Bokaro,65635,12439.29,16942,2978.58,48663,42070.86,8936,7135.09,7694,34858.01,692,3296.93,66,838.60,,,122058,90207,26570,13411
Chatra,27065,5332.00,7951,1346.69,19094,14593.23,3458,2463.20,4010,16765.16,199,999.26,17,217.18,,,50186,36908,11608,4809
Deoghar,22053,4775.18,2924,677.20,24879,22963.74,3094,3052.82,2386,13272.48,265,1149.20,75,1071.38,,,49393,42083,6283,4879
Dhanbad,188300,37998.71,25408,4037.30,77386,60627.18,9576,7066.97,7946,38614.02,842,3930.93,57,769.63,,,273689,138010,35826,15035
Dumka,32541,6607.79,6219,1167.00,26059,17912.79,3293,2241.30,1388,6651.66,162,521.43,37,423.94,,,60025,31596,9674,3930
East Singhbhum,91796,18188.22,18672,3606.90,76820,64193.26,10403,7769.27,9186,49793.20,881,5072.64,121,1749.52,,,177923,133924,29956,16449
Garhwa,48992,10259.71,15553,2708.28,33836,20212.84,5923,2760.39,1214,6288.05,106,404.45,43,608.31,,,84085,37369,21582,5873
Giridih,149143,28008.18,35170,5636.89,98193,63792.03,13843,8726.60,6217,30452.84,423,2054.19,57,747.94,,,253610,123001,49436,16418
Godda,45576,9037.30,11503,2005.11,33322,22863.70,5801,3575.05,1372,7426.83,185,880.14,54,642.68,,,80324,39971,17489,6460
Gumla,31937,5399.80,5893,999.92,14371,11275.51,2008,1651.17,3285,13837.72,142,739.41,17,210.89,,,49610,30724,8043,3390
Hazaribagh,65100,12367.22,12129,2097.96,56223,45254.14,7923,6658.09,7790,38622.33,656,3192.22,96,962.98,,,129209,97207,20708,11948
Jamtara,7972,1313.28,1010,169.89,7314,7495.24,1046,998.83,1132,4506.57,68,274.43,28,353.06,,,16446,13668,2124,1443
Khunti,10851,1556.81,1422,329.86,7854,7827.72,1076,955.05,1382,6123.47,71,387.82,7,81.34,,,20094,15589,2569,1673
Koderma,33933,6109.83,6380,1011.01,34392,25909.06,4223,3084.20,4200,21209.71,265,1304.98,9,155.93,,,72534,53385,10868,5400
Latehar,18039,3355.40,7004,1175.22,11848,8175.94,2759,1336.34,968,4846.42,72,309.75,19,235.02,,,30874,16613,9835,2821
Lohardaga,12030,1803.08,2692,475.43,7135,7870.77,1587,1755.80,3165,13580.48,161,740.89,4,63.36,,,22334,23318,4440,2972
Pakur,64165,12325.77,9484,1559.34,44660,23412.87,4342,2220.37,1889,7134.31,172,490.02,13,148.80,,,110727,43022,13998,4270
Palamu,66337,13917.29,22054,4138.16,57118,34372.55,11463,6315.96,2001,10610.69,340,1495.66,143,1699.41,,,125599,60600,33857,11950
Ramgarh,45291,8818.59,11209,1975.54,33887,25832.09,5746,4317.28,4398,22222.56,318,1690.12,20,228.10,,,83596,57101,17273,7983
Ranchi,103497,21801.36,20018,4288.17,99158,87322.35,15625,12295.44,13126,69190.01,1539,8261.46,145,1893.86,,,215926,180208,37182,24845
Sahibganj,52528,9960.57,16011,2632.59,34579,20565.13,6297,3101.98,1329,6432.80,130,553.30,21,288.27,,,88457,37247,22438,6288
Seraikela-Kharsawan,25430,3937.81,5073,873.48,17711,17638.78,2581,2385.24,3282,16416.56,208,1066.65,40,549.29,,,46463,38542,7862,4325
Simdega,6905,756.38,658,153.55,4900,5586.68,636,814.02,1832,8007.35,78,490.63,3,35.58,,,13640,14386,1372,1458
West Singhbhum,29361,4865.51,6226,1057.33,21761,24334.28,3350,2948.60,3334,15897.62,258,1372.56,24,251.97,1,10.38,54480,45349,9835,5389
