district,notices_issued_u_s_13_2_of_sarfaesi_act_ac,amt_in_lacs,out_of_which_symbolic_possession_taken_u_s_13_4_ac,amt_in_lacs,request_sent_to_dc_dm_cmm_for_assistance_in_physical_possession_ac,out_of_that_physical_possession_taken_ac,no_of_cases_pending_ac
Bokaro,156,8933.03,117,7936.65,70,38,59
Chatra,15,242.06,4,38.07,1,0,3
Deoghar,34,2179.73,18,1784.83,14,2,21
Dhanbad,202,6958.67,138,5176.75,92,18,89
Dumka,5,445.33,4,445.33,2,0,2
East Singhbhum,277,16599.64,203,13346.32,114,24,118
Garhwa,18,318.18,18,318.18,17,1,15
Giridih,49,1862.68,25,481.98,8,2,22
Godda,1,18.21,1,18.21,1,0,1
Gumla,15,203.10,10,152.23,5,1,7
Hazaribagh,109,1698.96,65,1062.64,43,3,56
Jamtara,3,136.67,2,130.52,1,0,1
Khunti,8,160.83,4,71.44,2,0,2
Koderma,28,396.04,19,276.49,12,2,17
Latehar,18,192.64,8,121.88,7,0,8
Lohardaga,24,321.30,8,219.80,4,0,6
Pakur,12,165.90,11,151.90,3,0,6
Palamu,22,443.94,17,402.50,7,1,7
Ramgarh,56,2890.93,36,2127.84,23,0,29
Ranchi,358,31598.43,234,28439.21,83,13,78
Sahibganj,5,54.64,5,54.64,1,1,4
Simdega,11,55.26,3,40.26,1,0,3
West Singhbhum,16,628.60,11,517.68,6,1,6
