district,other_non_pririoty_o_s_nos,o_s_amt,npa_nos,npa_amt,npa_nos_pct,npa_amt_pct,total_non_pririoty_o_s_nos,o_s_amt,npa_nos,npa_amt,npa_nos_pct,npa_amt_pct,total_npa_outstanding_o_s_nos,o_s_amt,npa_nos,npa_amt,npa_nos_pct,npa_amt_pct,weaker_section_o_s_nos,o_s_amt,npa_nos,npa_amt,npa_nos_pct,npa_amt_pct
Bokaro,108281,300527.79,10074,8351,9.30,2.78,144035,461471,11394,10469,7.91,2.27,302811,928510,59830,47589,19.76,5.13,118975,104321.00,41049,16945,34.5,16.2
Chatra,16513,40052.59,1186,618,7.18,1.54,22252,60982,1358,965,6.10,1.58,112009,166556,34788,18515,31.06,11.12,81869,67591.12,31378,14126,38.3,20.9
Deoghar,49774,129919.43,2823,2015,5.67,1.55,64704,200618,3485,2605,5.39,1.30,218231,472830,35539,21931,16.29,4.64,121933,86361.77,25286,10599,20.7,12.3
Dhanbad,174667,630450.34,14205,14307,8.13,2.27,232557,906355,16838,19115,7.24,2.11,625730,1710959,129996,75573,20.78,4.42,319718,157202.98,103369,31661,32.3,20.1
Dumka,29599,73867.17,3118,1295,10.53,1.75,36422,95512,3443,1683,9.45,1.76,158044,245371,32393,14685,20.50,5.98,103802,68568.66,23068,8701,22.2,12.7
East Singhbhum,296589,857931.00,14094,13760,4.75,1.60,373729,1275630,16959,19269,4.54,1.51,630056,2440902,75266,83194,11.95,3.41,174856,179829.39,47727,21623,27.3,12.0
Garhwa,20250,48688.43,1607,769,7.94,1.58,26545,65406,1858,1024,7.00,1.57,139712,186754,39763,16271,28.46,8.71,100745,80870.79,33024,11385,32.8,14.1
Giridih,57465,174251.91,7272,2709,12.65,1.55,74289,224605,8029,3460,10.81,1.54,287952,527329,92692,38586,32.19,7.32,185094,131624.02,78922,27436,42.6,20.8
Godda,24083,70925.29,2054,1058,8.53,1.49,29517,87796,2292,1347,7.77,1.53,143733,224702,36110,17050,25.12,7.59,104804,82002.68,31159,12554,29.7,15.3
Gumla,12978,41187.69,967,679,7.45,1.65,17639,56590,1466,1001,8.31,1.77,95295,147650,37431,17785,39.28,12.05,70840,57545.58,32989,13039,46.6,22.7
Hazaribagh,86621,198435.29,5889,3847,6.80,1.94,108001,295766,6979,5316,6.46,1.80,293363,701309,58339,45897,19.89,6.54,151945,137171.24,44653,25479,29.4,18.6
Jamtara,12392,33519.54,576,665,4.65,1.99,15820,42180,762,1003,4.82,2.38,83510,107353,13266,7385,15.89,6.88,59623,44232.38,10159,4377,17.0,9.9
Khunti,13639,44611.73,1249,654,9.16,1.47,16560,55894,1396,979,8.43,1.75,63197,110567,14906,8199,23.59,7.42,42448,31228.93,12677,5518,29.9,17.7
Koderma,27420,63121.66,3816,1450,13.92,2.30,33929,83124,4037,1736,11.90,2.09,113813,224254,29927,20312,26.29,9.06,63031,54118.03,21900,10833,34.7,20.0
Latehar,12609,45471.87,688,554,5.46,1.22,15926,57361,832,790,5.22,1.38,67334,130035,18194,7828,27.02,6.02,42405,44933.59,15085,4878,35.6,10.9
Lohardaga,12211,32143.21,993,646,8.13,2.01,14863,42729,1190,1058,8.01,2.48,67708,109746,23440,14333,34.62,13.06,48333,41325.16,20950,10204,43.3,24.7
Pakur,26945,43686.22,3887,1493,14.43,3.42,29464,54013,4033,1618,13.69,3.00,109915,144432,26961,10427,24.53,7.22,72429,60604.99,22207,7927,30.7,13.1
Palamu,49412,119574.36,4130,2523,8.36,2.11,61539,157135,4630,3098,7.52,1.97,236901,365415,60146,29566,25.39,8.09,160912,127633.43,50583,19853,31.4,15.6
Ramgarh,45502,159162.48,3118,4539,6.85,2.85,62112,247822,3985,7210,6.42,2.91,145827,432406,33031,27088,22.65,6.26,66804,56065.81,24927,10980,37.3,19.6
Ranchi,384793,1970013.55,19214,40975,4.99,2.08,487058,2712417,22778,49251,4.68,1.82,1632820,4716484,101842,187136,6.24,3.97,1030229,472548.46,63354,34411,6.1,7.3
Sahibganj,20004,48975.02,2072,1047,10.36,2.14,25341,63622,2395,1422,9.45,2.24,117287,164688,37548,16423,32.01,9.97,84624,68079.84,32852,11959,38.8,17.6
Seraikela-Kharsawan,38437,138549.15,2580,2763,6.71,1.99,52715,196134,3036,3378,5.76,1.72,244576,502947,30789,22006,12.59,4.38,174068,94798.16,24149,11606,13.9,12.2
Simdega,8541,19686.94,1000,432,11.71,2.19,10647,27338,1132,614,10.63,2.25,49922,73214,13518,7610,27.08,10.39,35253,30843.77,10754,5009,30.5,16.2
West Singhbhum,35726,319134.25,3091,1568,8.65,0.49,47236,361993,3754,2732,7.95,0.75,163789,531370,39333,24733,24.01,4.65,101414,90524.90,30551,15141,30.1,16.7
