district,christians_no,amt,muslims_no,amt,buddhists_no,amt,sikhs_no,amt,zorastria_ns_no,amt,jains_no,amt,total_no,amt
Bokaro,1746,3884.44,19172,32825.67,778,1055.21,366,2598.50,2,6.55,158,2119.25,22222,42489.62
Chatra,2420,2536.52,7254,8868.35,7,5.97,76,189.38,5,35.69,22,104.73,9784,11740.64
Deoghar,5368,4241.27,21117,21204.75,149,289.41,330,331.46,6,62.55,19,65.33,26989,26194.77
Dhanbad,3246,5233.78,81739,72453.96,934,596.72,802,7138.67,5,49.36,91,2103.24,86817,87575.74
Dumka,5732,6328.03,10714,11606.25,45,69.75,41,56.23,3,17.49,16,6.86,16551,18084.62
East Singhbhum,4344,11061.38,22735,63875.26,1078,1657.03,3897,34653.86,28,89.62,100,839.09,32182,112176.24
Garhwa,6085,6288.64,13091,13970.21,22,24.08,24,52.19,,,22,11.21,19244,20346.33
Giridih,3285,3314.81,39823,37301.65,84,178.22,151,734.58,3,0.80,119,681.46,43465,42211.51
Godda,4024,3705.26,16236,18048.94,43,46.71,108,71.60,,,11,5.37,20422,21877.88
Gumla,9240,9938.60,7774,7293.72,6,7.96,86,296.83,1,0.23,9,39.57,17116,17576.92
Hazaribagh,3088,5687.82,25960,42148.60,258,253.12,240,2118.20,16,30.17,201,657.89,29763,50895.81
Jamtara,3423,2439.18,11507,9498.71,8,3.34,25,100.06,,,15,108.63,14978,12149.91
Khunti,6379,7405.63,2245,3340.44,58,30.24,89,223.15,3,26.08,19,124.21,8793,11149.75
Koderma,566,1063.95,9551,10552.19,5,9.26,93,661.89,1,0.44,34,170.67,10250,12458.40
Latehar,3248,4842.53,5912,8328.59,22,28.69,28,75.27,,,14,53.61,9224,13328.68
Lohardaga,2483,3307.56,13923,12742.08,6,18.34,20,27.61,3,14.03,22,17.98,16457,16127.61
Pakur,2688,2978.85,32866,26658.60,3,2.68,106,153.58,3,7.35,6,55.56,35672,29856.61
Palamu,9242,9714.57,18383,21274.03,22,24.74,87,421.56,4,1.96,43,114.62,27781,31551.48
Ramgarh,981,2943.57,11498,18921.09,97,173.44,506,2508.10,1,0.46,52,894.54,13135,25441.21
Ranchi,28464,65135.81,309709,174652.08,1830,2067.42,1269,10936.18,8,23.48,314,5951.50,341594,258766.47
Sahibganj,3562,3599.22,18304,18897.00,58,224.46,111,105.29,1,0.27,13,19.77,22049,22846.02
Seraikela-Kharsawan,2935,3152.21,19533,11680.26,106,226.38,225,1050.74,,,24,31.12,22823,16140.70
Simdega,11669,12543.76,2197,3134.94,4,3.48,36,69.09,,,16,123.12,13922,15874.40
West Singhbhum,6216,6826.01,7503,11175.13,188,491.36,537,2398.80,15,47.53,73,162.97,14532,21101.81
