district,credit_sanctioned_outside_jharkhand_and_utilised_inside_jharkhand_outstanding_as,amt,credit_sanctioned_inside_jharkhand_and_utilised_outside_jharkhand_outstanding_as,amt
Bokaro,61,516130.43,15,2046.10
Chatra,13,83.06,2,36.47
Deoghar,25,957.32,100,1569.35
Dhanbad,95,154188.19,40,4773.36
Dumka,3,80.52,3,46.57
East Singhbhum,132,727593.18,20,7087.65
Garhwa,11,138.78,0,0.00
Giridih,34,11675.31,2,25.39
Godda,9,116458.60,1,0.00
Gumla,3,16.58,0,0.00
Hazaribagh,27,8466.66,10,2513.58
Jamtara,1,1.39,0,0.00
Khunti,21,38.76,0,0.00
Koderma,11,82002.72,1,0.00
Latehar,2,46501.49,0,0.00
Lohardaga,1,500.00,0,0.00
Pakur,4,49.44,1,1.72
Palamu,56,26901.26,4,29.22
Ramgarh,46,46514.57,3,47.38
Ranchi,237,178972.09,38,32450.00
Sahibganj,17,40450.43,0,0.00
Seraikela-Kharsawan,16,4537.19,0,0.00
Simdega,7,110.91,1,13.27
West Singhbhum,8,487057.02,0,0.00
