district,number_of_pmjdy_accounts_rural,urban,male,female,total,zero_balance_a_c,pct_of_zero_bal_a_c,deposits_held_in_the_a_c_in_lakh,overdraft_under_pmjdy_no_of_acc,o_s,rupay_card_issued,rupay_card_pct,rupay_card_activated,aadhaar_seeded,aadhaar_seeding_pct,col_17
Bokaro,623840,271922,396141,499621,895762,61802,6.90,47683.32,3832,1942.28,679175,75.82,253866,804586,89.82,
Chatra,700929,22216,343545,379600,723145,44886,6.21,41046.98,3984,3493.94,485524,67.14,152600,642233,88.81,
Deoghar,901412,267364,545691,623085,1168776,80150,6.86,61937.78,8909,6952.51,770942,65.96,165975,1022310,87.47,
Dhanbad,870280,391814,541938,720156,1262094,71140,5.64,59964.38,4822,1603.76,981029,77.73,371461,1155573,91.56,
Dumka,832515,67229,427104,472640,899744,67008,7.45,44273.76,8283,7497.54,555174,61.70,84435,767971,85.35,
East Singhbhum,567488,342349,410634,499203,909837,63861,7.02,46010.93,5950,5780.58,711786,78.23,264691,819125,90.03,
Garhwa,832651,117222,473351,476522,949873,83952,8.84,39937.35,10163,11638.57,576047,60.64,167032,807209,84.98,
Giridih,1382748,146890,682105,847533,1529638,101776,6.65,83712.82,4033,3555.23,1045809,68.37,433583,1386159,90.62,
Godda,839820,58750,411620,486950,898570,72082,8.02,37139.68,6382,5258.14,555992,61.88,150467,760504,84.63,
Gumla,548961,78644,287373,340232,627605,48923,7.80,43322.82,3707,3161.41,411241,65.53,178197,565003,90.03,
Hazaribagh,832666,191669,466321,558014,1024335,76856,7.50,57564.75,5131,4786.22,704130,68.74,261838,923149,90.12,
Jamtara,489099,33191,246556,275734,522290,33651,6.44,24814.05,5952,4193.62,323117,61.87,68139,465060,89.04,
Khunti,242670,12815,118814,136671,255485,20269,7.93,15825.56,1672,951.84,135294,52.96,72966,235859,92.32,
Koderma,374140,43537,179608,238069,417677,23114,5.53,25240.03,995,1024.85,329949,79.00,139857,386830,92.61,
Latehar,587545,48439,303519,332465,635984,52291,8.22,29728.35,4343,4707.44,388622,61.11,86859,551450,86.71,
Lohardaga,301640,17321,144145,174816,318961,31808,9.97,18471.20,1678,1618.68,200247,62.78,99662,300987,94.36,
Pakur,686086,62764,349933,398917,748850,56533,7.55,24640.46,2615,2813.91,497617,66.45,101476,669219,89.37,
Palamu,1162830,275497,709758,728569,1438327,131944,9.17,62959.46,15599,18087.18,985507,68.52,228083,1230354,85.54,
Ramgarh,321305,34537,159628,196214,355842,27806,7.81,23863.59,2582,939.80,262899,73.88,110135,334407,93.98,
Ranchi,1098147,434705,708814,824038,1532852,125949,8.22,86534.98,14284,8031.15,937275,61.15,314863,1305537,85.17,
Sahibganj,754077,250295,480813,523559,1004372,71653,7.13,36131.06,4215,4277.00,645464,64.27,99973,874265,87.05,
Simdega,352103,13631,164384,201350,365734,20394,5.58,26387.54,2221,1414.42,269468,73.68,142967,342391,93.62,
West Singhbhum,732628,124367,397711,459284,856995,54039,6.31,50341.09,10775,4373.09,605323,70.63,205341,776212,90.57,
