district,as_on_30th_june_2025_crop_loan_o_s_nos,o_s_amt,npa_nos,npa_amt,npa_nos_in_pct,npa_amt_in_pct,term_loan_o_s_nos,o_s_amt,npa_nos,npa_amt,npa_nos_in_pct,npa_amt_in_pct
Bokaro,52983,34300.88,19835,8641,37.44,25.19,28248,25491.79,13187,3090,46.68,12.12
Chatra,54367,30779.27,20733,10031,38.14,32.59,17078,14440.03,8375,1972,49.04,13.65
Deoghar,89852,55255.03,20927,8664,23.29,15.68,24252,22883.09,5131,2476,21.16,10.82
Dhanbad,44291,29536.35,18088,7618,40.84,25.79,203721,69648.49,69869,16168,34.30,23.21
Dumka,67615,33718.07,17578,6689,26.00,19.84,24076,23635.30,6232,2001,25.88,8.47
East Singhbhum,82828,48522.70,22155,8761,26.75,18.06,35171,37612.15,14411,4152,40.97,11.04
Garhwa,58613,52718.61,14616,7673,24.94,14.56,38861,27887.72,18527,4914,47.68,17.62
Giridih,85156,50007.89,33006,14659,38.76,29.31,64284,42335.91,38421,8324,59.77,19.66
Godda,63453,42477.41,16016,8084,25.24,19.03,25479,20456.13,13062,3221,51.27,15.74
Gumla,52705,28825.06,25072,10305,47.57,35.75,8519,12464.62,7298,2053,85.67,16.47
Hazaribagh,76655,52238.82,27639,16699,36.06,31.97,46095,38871.12,12144,3919,26.35,10.08
Jamtara,50894,31786.34,9047,3495,17.78,10.99,4516,6245.10,1504,686,33.30,10.99
Khunti,27823,15933.02,8481,3657,30.48,22.95,9480,6899.57,3110,1097,32.81,15.89
Koderma,29119,17472.25,14365,7517,49.33,43.02,21662,13286.02,5492,1491,25.35,11.22
Latehar,31541,25056.32,6138,2946,19.46,11.76,7655,12550.16,8507,2286,111.13,18.21
Lohardaga,33275,20658.64,16431,7768,49.38,37.60,5653,6499.00,2912,1306,51.51,20.10
Pakur,31259,19939.12,9389,4080,30.04,20.46,14841,14051.73,10526,2230,70.93,15.87
Palamu,82548,68724.11,23613,12867,28.61,18.72,60858,42405.71,22579,5566,37.10,13.12
Ramgarh,26675,17752.51,8866,3976,33.24,22.40,21207,13107.81,11408,2758,53.79,21.04
Ranchi,113257,72812.08,30543,15011,26.97,20.62,855512,362506.38,22806,9205,2.67,2.54
Sahibganj,43105,30612.96,11423,6653,26.50,21.73,20496,18985.74,18691,4220,91.19,22.22
Seraikela-Kharsawan,57646,35742.69,17167,8131,29.78,22.75,93335,37906.03,3277,1546,3.51,4.08
Simdega,22346,11092.28,8535,3601,38.19,32.46,6697,9817.17,1893,956,28.27,9.73
West Singhbhum,71546,49636.13,20449,9612,28.58,19.36,13768,20299.77,8117,3049,58.96,15.02
