district,as_on_30th_june_2025_export_credit_no,amt,education_no,amt,housing_no,amt,social_infra_no,amt,renewable_energy_no,amt,others_priority_sector_no,amt,total_priority_sector_no,amt,pct_of_total_pri_sec_loans_to_total_advances
Bokaro,,,3431,13616.04,3701,45630.38,4,12.37,27,36.40,17139,5698.21,158776,466889.83,50.28
Chatra,,,237,771.74,204,2131.63,1,0.47,2,2.62,3021,807.59,89757,105574.05,63.39
Deoghar,,,1162,4755.25,1631,15545.25,2,7.63,41,69.61,11642,3898.18,153527,272212.73,57.57
Dhanbad,1,2009.00,5485,20431.71,8910,102639.73,4,1.06,5,4.55,57343,19274.54,393173,804422.73,47.02
Dumka,,,244,821.52,794,7127.66,5,1.32,36,34.74,13299,3877.05,121622,149446.21,60.91
East Singhbhum,,,7944,40377.88,10326,116128.44,72,52.07,22,38.87,38267,13092.92,256327,1165154.47,47.73
Garhwa,,,277,933.88,309,3152.03,13,76.57,14,10.66,6355,1890.49,113167,121347.19,64.98
Giridih,27,6758.64,1050,3377.27,991,10522.14,23,10.30,1,1.81,19469,6189.08,213663,302724.40,57.41
Godda,,,404,1390.14,1100,11990.30,,,37,11.93,7861,2413.14,114216,136905.70,60.93
Gumla,,,466,1203.30,329,3494.65,1,0.10,1,8.36,4082,1270.02,77656,90440.20,61.25
Hazaribagh,,,1512,5783.40,2615,26231.20,11,6.60,5,15.32,15380,5363.67,185362,405542.17,57.83
Jamtara,,,405,693.34,353,2429.88,,,16,4.86,2617,520.35,67690,64548.00,60.13
Khunti,,,172,600.49,265,2774.27,4,11.33,,,1234,266.70,46637,54673.20,49.45
Koderma,,,565,1992.21,609,5816.20,1,0.21,1,1.82,6105,2141.01,79884,141426.06,63.07
Latehar,,,255,646.74,203,2287.05,,,5,3.25,3026,670.14,51408,72674.37,55.89
Lohardaga,,,227,822.43,288,2671.49,1,,,,4157,1209.98,52845,67017.31,61.07
Pakur,,,108,330.54,404,3858.53,8,1.65,,,14685,4116.77,80451,90363.30,62.56
Palamu,,,799,2764.73,843,8105.73,17,250.61,12,21.77,12219,3916.16,175362,208280.19,57.00
Ramgarh,,,1086,3956.71,1002,11076.95,8,24.16,5,9.56,9120,2973.66,83715,184584.00,42.69
Ranchi,5,25687.00,11939,60551.49,13979,198398.13,158,79.64,106,282.26,41447,19720.16,1145762,2003860.23,42.49
Sahibganj,,,553,1208.13,618,4832.08,,,39,28.16,10793,3143.76,91946,100935.45,61.29
Seraikela-Kharsawan,,,2130,6726.38,1793,18311.53,1,0.49,4,8.21,8630,2849.01,191861,306751.06,60.99
Simdega,,,158,393.66,148,1495.18,1,0.22,,,2205,692.35,39275,45745.33,62.48
West Singhbhum,,,1453,5785.48,1003,11190.42,1,0.19,4,6.03,7911,1684.38,116553,169000.09,31.80
