district,as_on_30th_june_2025_micro*_o_s_nos,o_s_amt,npa_nos,npa_amt,npa_nos_pct,npa_amt_pct,small_o_s_nos,o_s_amt,npa_nos,npa_amt,npa_nos_pct,npa_amt_pct,medium_o_s_nos,o_s_amt,npa_nos,npa_amt,npa_nos_pct,npa_amt_pct,other_msme_o_s_nos,o_s_amt,npa_nos,npa_amt,npa_nos_pct,npa_amt_pct,total_msme_o_s_nos,o_s_amt,npa_nos,npa_amt,npa_nos_pct,npa_amt_pct
Bokaro,42838,174580.42,10682,19446,24.94,11.14,1251,79201.95,559,3028,44.68,3.82,264,58268.35,11,106,4.17,0.18,70,202.81,39,25,55.7,12.4,44423,312254,11291,22605,25.42,7.24
Chatra,8294,31091.73,2791,4810,33.65,15.47,124,5172.41,45,89,36.29,1.72,49,1173.91,3,3,6.12,0.28,1,1.31,1,1,100.0,100.0,8468,37439,2840,4904,33.54,13.10
Deoghar,21989,97892.98,4272,6141,19.43,6.27,624,35432.61,826,1099,132.37,3.10,98,18275.20,4,42,4.08,0.23,16,22.69,25,43,156.3,188.6,22727,151623,5127,7324,22.56,4.83
Dhanbad,63035,283075.14,14011,21213,22.23,7.49,2420,175128.54,894,5609,36.94,3.20,661,67870.48,46,633,6.96,0.93,78,344.74,43,82,55.1,23.8,66194,526419,14994,27537,22.65,5.23
Dumka,12142,45112.04,2646,2818,21.79,6.25,351,19015.17,943,742,268.66,3.90,68,4022.54,7,9,10.29,0.22,3,141.80,13,20,433.3,14.3,12564,68292,3609,3589,28.72,5.26
East Singhbhum,63883,392883.52,14651,34714,22.93,8.84,5734,280012.54,817,6996,14.25,2.50,2243,192329.08,159,2399,7.09,1.25,37,730.24,28,75,75.7,10.2,71897,865955,15655,44183,21.77,5.10
Garhwa,7198,25774.53,1593,1522,22.13,5.90,138,4873.87,615,327,445.65,6.70,4,123.65,2,9,50.00,6.89,4,27.14,5,1,125.0,2.3,7344,30799,2215,1858,30.16,6.03
Giridih,33136,106837.34,8241,9673,24.87,9.05,476,34854.10,527,485,110.71,1.39,134,7054.04,11,37,8.21,0.52,5,48.35,6,8,120.0,16.0,33751,148794,8785,10203,26.03,6.86
Godda,11842,36893.97,3167,3474,26.74,9.42,266,7416.05,161,207,60.53,2.79,13,1072.08,7,10,53.85,0.98,35,23.75,25,9,71.4,36.3,12156,45406,3360,3700,27.64,8.15
Gumla,7190,25140.40,2663,3701,37.04,14.72,153,4703.87,27,47,17.65,0.99,32,98.65,4,6,12.50,6.28,2,0.49,1,0,50.0,2.2,7377,29943,2695,3754,36.53,12.54
Hazaribagh,33621,172122.83,8416,15702,25.03,9.12,1085,45292.74,482,1796,44.42,3.97,209,16456.80,16,80,7.66,0.49,7,14.47,11,29,157.1,201.8,34922,233887,8925,17608,25.56,7.53
Jamtara,6170,15142.02,1504,1711,24.38,11.30,69,1408.40,237,307,343.48,21.79,21,31.96,,,0.00,0.00,2,0.14,1,0,50.0,53.2,6262,16583,1742,2018,27.82,12.17
Khunti,5120,17053.01,1414,2020,27.62,11.85,99,3936.20,74,146,74.75,3.70,5,83.77,,,0.00,0.00,6,7.02,,,0.0,0.0,5230,21080,1488,2166,28.45,10.28
Koderma,16109,65591.91,4346,7960,26.98,12.14,415,12990.41,135,694,32.53,5.34,73,3829.96,2,,2.74,0.00,3,10.50,3,10,100.0,100.0,16600,82423,4486,8665,27.02,10.51
Latehar,6579,20665.10,910,1161,13.83,5.62,88,2968.20,140,110,159.09,3.72,8,252.17,1,1,12.50,0.41,2,54.96,1,5,50.0,8.5,6677,23940,1052,1277,15.76,5.33
Lohardaga,5958,19604.20,1937,3118,32.51,15.91,158,4681.05,58,295,36.71,6.31,14,47.29,2,14,14.29,29.13,6,15.49,5,13,83.3,85.5,6136,24348,2002,3441,32.63,14.13
Pakur,13662,26992.58,1870,1835,13.69,6.80,165,4030.70,78,147,47.27,3.65,31,992.71,2,3,6.45,0.30,2,3.14,,,0.0,0.0,13860,32019,1950,1986,14.07,6.20
Palamu,14093,51331.77,4842,5462,34.36,10.64,360,15178.32,253,477,70.28,3.14,42,2147.43,4,54,9.52,2.50,7,11.11,7,11,100.0,100.6,14502,68669,5106,6003,35.21,8.74
Ramgarh,19476,81844.94,6164,10773,31.65,13.16,516,30786.54,253,1030,49.03,3.35,223,7437.08,8,2,3.59,0.03,4,1.68,8,39,200.0,2307.3,20219,120070,6433,11844,31.82,9.86
Ranchi,94796,610356.54,18230,68842,19.23,11.28,4708,336438.89,1202,15627,25.53,4.64,863,168537.51,67,17249,7.76,10.23,79,2212.82,49,56,62.0,2.5,100446,1117546,19548,101774,19.46,9.11
Sahibganj,12858,28512.96,2871,3047,22.33,10.69,183,4978.52,378,231,206.56,4.65,40,632.09,,,0.00,0.00,1,48.98,1,3,100.0,6.2,13082,34173,3250,3281,24.84,9.60
Seraikela-Kharsawan,22756,79047.39,5625,7240,24.72,9.16,914,65877.03,89,450,9.74,0.68,317,41716.89,3,11,0.95,0.03,32,425.21,9,12,28.1,2.9,24019,187067,5726,7713,23.84,4.12
Simdega,4872,14482.47,1578,2093,32.39,14.45,80,1079.42,68,97,85.00,8.98,5,37.94,1,1,20.00,2.78,1,0.02,1,1,100.0,4930.5,4958,15600,1648,2192,33.24,14.05
West Singhbhum,16380,47423.85,4610,5978,28.14,12.61,488,20317.47,270,2136,55.33,10.51,94,1890.66,20,27,21.28,1.42,25,78.82,13,57,52.0,72.2,16987,69711,4913,8198,28.92,11.76
