district,as_on_30th_june_2025_agri_infrastructure_o_s_nos,o_s_amt,npa_nos,npa_amt,npa_nos_pct,npa_amt_pct,ancillary_activities_o_s_nos,o_s_amt,npa_nos,npa_amt,npa_nos_pct,npa_amt_pct,total_agri_o_s_nos,o_s_amt,npa_nos,npa_amt,npa_nos_pct,npa_amt_pct
Bokaro,41,150.63,5,1,12.20,0.63,8779,29699.59,459,673,5.23,2.27,90051,89643,33486,12406,37.19,13.84
Chatra,3,1.73,2,1,66.67,46.22,6376,19199.61,159,191,2.49,1.00,77824,64421,29269,12195,37.61,18.93
Deoghar,76,566.73,13,123,17.11,21.79,2142,17608.48,138,167,6.44,0.95,116322,96313,26209,11430,22.53,11.87
Dhanbad,84,1745.41,29,41,34.52,2.35,7135,32713.01,470,931,6.59,2.85,255231,133643,88456,24758,34.66,18.53
Dumka,21,88.84,54,42,257.14,47.50,2968,11850.17,144,186,4.85,1.57,94680,69292,24008,8918,25.36,12.87
East Singhbhum,43,419.02,6,19,13.95,4.57,9757,42955.07,435,2426,4.46,5.65,127799,129509,37007,15358,28.96,11.86
Garhwa,199,83.30,66,27,33.17,32.98,1182,3794.73,206,138,17.43,3.63,98855,84484,33415,12753,33.80,15.09
Giridih,65,535.47,32,72,49.23,13.41,8846,34192.09,556,438,6.29,1.28,158351,127071,72015,23493,45.48,18.49
Godda,49,104.00,,,0.00,0.00,3677,12656.80,157,241,4.27,1.91,92658,75694,29235,11545,31.55,15.25
Gumla,4,12.65,,,0.00,0.00,4172,13218.02,339,322,8.13,2.44,65400,54520,32709,12679,50.01,23.26
Hazaribagh,27,105.72,5,8,18.52,7.52,8140,43039.49,256,388,3.14,0.90,130917,134255,40044,21014,30.59,15.65
Jamtara,12,17.05,8,4,66.67,23.18,2615,6268.56,81,92,3.10,1.47,58037,44317,10640,4278,18.33,9.65
Khunti,5,40.49,2,2,40.00,4.11,2424,7067.34,92,136,3.80,1.93,39732,29940,11685,4891,29.41,16.34
Koderma,4,11.02,1,,25.00,0.00,5218,18282.53,158,179,3.03,0.98,56003,49052,20016,9188,35.74,18.73
Latehar,2,2.04,10,11,500.00,548.53,2044,7518.22,66,55,3.23,0.73,41242,45127,14721,5298,35.69,11.74
Lohardaga,9,75.51,2,6,22.22,7.94,3099,10732.20,259,351,8.36,3.27,42036,37965,19604,9432,46.64,24.84
Pakur,14,150.66,,,0.00,0.00,5272,15895.16,167,227,3.17,1.43,51386,50037,20082,6537,39.08,13.07
Palamu,27,82.84,96,106,355.56,128.52,3537,13339.89,319,379,9.02,2.84,146970,124553,46607,18918,31.71,15.19
Ramgarh,18,65.62,14,12,77.78,18.47,4375,15546.78,200,344,4.57,2.21,52275,46473,20488,7090,39.19,15.26
Ranchi,127,4614.27,14,85,11.02,1.84,8786,141663.05,734,5732,8.35,4.05,977682,581596,54097,30033,5.53,5.16
Sahibganj,4,40.47,4,1,100.00,3.02,3256,7911.60,192,226,5.90,2.86,66861,57551,30310,11100,45.33,19.29
Seraikela-Kharsawan,20,27.84,3,3,15.00,9.40,4283,18112.37,404,572,9.43,3.16,155284,91789,20851,10251,13.43,11.17
Simdega,20,14.04,9,3,45.00,19.80,2742,6640.56,135,107,4.92,1.61,31805,27564,10572,4666,33.24,16.93
West Singhbhum,82,27.90,11,16,13.41,56.75,3798,10659.00,242,232,6.37,2.18,89194,80623,28819,12909,32.31,16.01
