District,Deposit,Advance,CD ratio Norm 60%,KCC Sanctioned,% of Agri. Advto Nbc 18%,Total Priority Sector Advances,% of PS Advanceto Nbc Norm 40%
Thoubal,23463.78,21287.13,90.72,4397.48,19,11316.95,53
Kakching,10625.06,13661.30,128.58,586.72,16,9052.74,66
Chandel,10238.71,7608.52,74.31,657.68,3,2034.04,27
Tengnoupal,8100.04,7184.61,88.70,672.17,13,2043.21,28
Churachandpur,59365.69,33663.49,56.71,10387.71,10,17488.40,52
Pherzawl,63.00,384.64,610.54,0.00,0,0.00,0
Senapati,27596.65,33094.37,119.92,3778.99,5,10963.78,33
Kangpokpi,12909.94,12106.81,93.78,817.55,19,4833.80,40
Imphal West,588823.24,271011.75,46.03,11554.92,8,143576.31,53
Imphal East,87585.13,50094.20,57.19,2999.63,13,27279.46,54
Jiribam,3567.00,685.00,19.20,14.55,28,437.26,64
Bishnupur,20122.64,18362.32,91.25,2919.32,22,12130.07,66
Tamenglong,9865.63,2631.36,26.67,12.55,32,2372.15,90
Noney,1637.10,1136.77,69.44,5.97,6,329.68,29
Ukhrul,19268.99,6933.99,35.99,132.96,13,3320.62,48
Kamjong,565.00,761.23,134.73,0.00,0,112.31,15
