District,Noof SHGsformed,Noofwomen SHGs,Noof SHGstakenupeconomicactivities
Bishnupur,3684,3260,3652
Chandel,773,696,382
Churachandpur,2343,2208,1982
Imphal East,3844,3483,3463
Imphal West,7622,6632,6722
Jiribam,10,0,0
Kakching,524,491,368
Kamjong,8,7,8
Kangpokpi,552,531,488
Noney,531,429,480
Pherzawl,0,0,0
Senapati,3381,3260,2986
Tamenglong,595,482,515
Tengnoupal,820,739,847
Thoubal,5580,5200,4810
Ukhrul,1625,1489,1596
