district,Noof SHGsformed,Noofwomen SHGs,Noof SHGstakenupeconomicactivities
Bishnupur,3469,3070,3439
Chandel,773,696,382
Churachandpur,2324,2190,1965
Imphal East,3413,3092,3075
Imphal West,7299,6351,6437
Jiribam,10,0,0
Kakching,484,453,340
Kamjong,8,7,8
Kangpokpi,514,495,454
Noney,501,405,453
Pherzawl,0,0,0
Senapati,3381,3260,2986
Tamenglong,595,482,515
Tengnoupal,790,712,816
Thoubal,5486,5113,4729
Ukhrul,1625,1489,1596
