District,Lead Bank Allotted To,No. of villages,No. ofhouse – holds,Households Covered (Accounts Opened),No. of KCC issued
Thoubal,a di n I of k n a B e at St,128,85295,435679,9156
Kakching,,,,,1103
Chandel,,447,29097,84148,1554
Tengnoupal,,,,,1133
Churachandpur,,613,49916,253803,4359
Pherzawl,,,,,0
Senapati,,934,34487,198668,5552
Kangpokpi,,,,,2683
Imphal West,,150,111393,913205,21670
Imphal East,a di n I of k n a B d e nit U,195,91806,225610,7480
Jiribam,,,,,54
Bishnupur,,48,44891,261962,8088
Tamenglong,,171,24477,65836,134
Noney,,,,,17
Ukhrul,,198,35790,129343,589
Kamjong,,,,,0
