district,Total No. of Operative SB Accounts,Total No. of Operative SB Accounts covered with at least one of the facilities - Debit/ RuPay cards/ Net Banking/ Mobile Banking/ UPI/ USSD,% of such Accounts out of total Operative Savings Accounts,Total No. of Operative Current Accounts,Total No. of Operative Current Accounts covered with at least one of facilities - Net Banking/ POS/ QR etc.,% of such Accounts out of total Operative Current Accounts
Gangtok,344124,334830,97.30%,11508,10083,87.62%
Gyalshing,77668,74488,95.91%,1411,1333,94.47%
Mangan,49682,46126,92.84%,989,882,89.18%
Namchi,153989,146513,95.15%,9616,9230,95.99%
Pakyong,125943,111248,88.33%,2245,1977,88.06%
Soreng,87047,79886,91.77%,651,398,61.14%
