district,aadhaar_authenticated_sb_accounts,first_time_active_rupay_card,inactive_csps,rupay_card_active_in_pmjdy,rupay_card_issued_in_kcc
East Garo Hills,47650,1925,11,2409,518
East Jaintia Hills,9830,8804,18,17492,26
East Khasi Hills,195213,83897,136,76884,5018
Eastern West Khasi Hills,6175,3750,18,12399,718
North Garo Hills,54197,7452,14,8997,486
Ri Bhoi,32025,6498,23,22024,6498
South Garo Hills,30289,967,13,1567,36
South West Garo Hills,78055,2679,12,4323,436
South West Khasi Hills,10381,95,14,8239,355
West Garo Hills,195357,8206,63,14975,884
West Jaintia Hills,41059,3322,25,13061,563
West Khasi Hills,15351,3732,24,12664,2248
