district,no_of_aadhaar_seeded_casa,no_of_authenticated_casa,no_of_operative_casa
East Garo Hills,59176,16666,110611
East Jaintia Hills,63148,4353,144466
East Khasi Hills,361198,117849,1044612
Eastern West Khasi Hills,53225,1515,106643
North Garo Hills,64119,11793,137810
Ri Bhoi,126265,12117,307544
South Garo Hills,46429,10878,86245
South West Garo Hills,88126,23683,145214
South West Khasi Hills,38827,1847,83268
West Garo Hills,216815,59574,473065
West Jaintia Hills,128367,27395,310209
West Khasi Hills,66610,5690,142015
