district,credit_linked_amt,credit_linked_no,credit_linked_no_cy,cy_credit_linked_amt,cy_savings_linked_amt,npa_amt,npa_no,npa_pct,os_amt,os_no,savings_linked_amt,savings_linked_no,savings_linked_no_cy
East Garo Hills,786.75,424,199,398.08,0.37,6.78,13,2.98,227.49,149,1.35,127,45
East Jaintia Hills,408.50,218,67,127.50,0.19,8.23,5,0.27,3084.14,1651,2.74,167,20
East Khasi Hills,1298.72,661,207,415.94,1003.39,47.44,48,0.95,5000.65,2892,31.44,506,91
Eastern West Khasi Hills,504.62,167,48,119.01,0.12,11.51,11,0.46,2503.19,1112,4.13,136,19
North Garo Hills,570.98,350,106,151.58,0.21,28.44,30,8.90,319.44,255,9.42,192,29
Ri Bhoi,418.31,163,75,143.90,5.56,125.97,110,4.43,2846.34,1814,12.42,222,66
South Garo Hills,162.24,114,55,40.74,0.75,24.59,55,8.80,279.54,253,15.94,142,44
South West Garo Hills,205.84,115,40,51.49,2.66,74.90,100,8.62,868.48,715,6.86,125,43
South West Khasi Hills,161.69,83,21,35.86,0.40,13.32,17,1.36,976.80,614,1.42,118,55
West Garo Hills,1477.50,696,198,422.32,187.17,57.56,117,2.06,2798.43,2086,204.41,706,215
West Jaintia Hills,998.16,380,181,475.19,0.68,49.18,34,1.42,3470.86,1824,12.07,409,77
West Khasi Hills,369.84,132,52,147.03,0.46,31.13,36,1.24,2515.46,1165,42.83,165,56
