district,deposits_held_in_a_c_amt,female_no,male_no,no_of_aadhaar_seeded,no_of_rupay_card_issued,no_of_zero_balance_a_c,rupay_card_activated,rural_no,total_pmjdy_no,urban_no
East Garo Hills,1058.34,18810,14181,20648,17541,1816,2309,24018,32991,8973
East Jaintia Hills,4338.85,31579,21345,28028,24002,1932,9268,49556,52924,3368
East Khasi Hills,20273.90,116307,84402,91066,88803,13928,49906,129510,200709,71588
Eastern West Khasi Hills,4188.81,26062,16954,22835,18027,1900,8023,36926,43016,6090
North Garo Hills,1409.36,36536,27522,31609,46761,2023,5795,56754,64058,7304
Ri Bhoi,5436.56,55676,37641,45615,44344,4543,22700,70848,93317,22469
South Garo Hills,898.43,17318,14806,17088,11529,2648,1462,19707,32124,12417
South West Garo Hills,2083.51,34195,30438,38071,35311,2034,4343,60068,64633,4565
South West Khasi Hills,1449.57,15983,9882,12749,14287,1795,9383,19560,25865,6305
West Garo Hills,6247.57,132142,97118,110440,141003,14349,14425,196098,229260,33162
West Jaintia Hills,6581.67,57055,30981,39005,34577,4322,13739,66708,88036,21328
West Khasi Hills,3143.65,34025,27496,22830,24457,2326,9215,49285,61521,12236
