district,cy_disbursed_amt,cy_disbursed_no,cy_sanction_amt,cy_sanction_no,npa_amt,npa_no,npa_pct,os_amt,os_no
East Garo Hills,106.30,17,145.99,28,177.46,96,27.39,647.87,192
East Jaintia Hills,54.79,14,88.07,14,18.06,11,2.63,686.77,156
East Khasi Hills,1692.87,292,2070.88,239,1645.81,550,16.76,9821.41,1873
Eastern West Khasi Hills,41.68,7,50.17,7,32.80,23,5.55,591.05,135
North Garo Hills,81.81,17,90.95,14,184.58,99,23.24,794.37,229
Ri Bhoi,398.75,109,658.79,97,302.08,176,13.17,2293.54,636
South Garo Hills,27.47,8,31.04,5,232.25,127,31.23,743.68,210
South West Garo Hills,83.80,15,97.90,15,380.75,156,46.43,820.02,263
South West Khasi Hills,95.70,23,136.21,19,47.59,34,9.02,527.87,154
West Garo Hills,576.13,94,732.40,126,864.86,286,21.55,4013.53,910
West Jaintia Hills,354.43,94,426.75,76,344.39,153,11.55,2982.82,796
West Khasi Hills,65.12,17,108.52,18,180.27,122,27.03,666.82,232
