district,adv_rural,adv_semi_urban,adv_urban,cd_ratio_rural,cd_ratio_semi_urban,cd_ratio_urban,dep_rural,dep_semi_urban,dep_urban,overall_cd_ratio,total_advance,total_deposit
East Garo Hills,7727.91,26745.05,5772.68,86.49,63.06,79.02,8935.28,42409.44,7304.93,68.62,40245.64,58649.65
East Jaintia Hills,38389.47,4279.11,549.13,26.54,16.13,,144634.42,26531.16,0.00,25.25,43217.71,171165.58
East Khasi Hills,126248.87,96626.40,1043472.31,37.00,49.23,46.43,341203.49,196276.26,2247233.66,45.47,1266347.58,2784713.41
Eastern West Khasi Hills,13271.62,8555.45,1260.57,52.39,35.34,17.85,25330.51,24211.29,7061.20,40.79,23087.64,56603.00
North Garo Hills,25835.65,9878.11,3.70,85.93,66.89,,30065.44,14768.65,0.00,79.67,35717.46,44834.09
Ri Bhoi,256480.19,36109.44,6646.54,155.72,45.91,109.01,164705.28,78658.51,6097.01,119.95,299236.17,249460.80
South Garo Hills,5018.98,11499.46,2370.40,54.79,71.69,66.52,9160.78,16041.61,3563.28,65.66,18888.84,28765.67
South West Garo Hills,27384.09,3031.77,0.00,74.66,56.00,,36677.11,5413.83,0.00,72.26,30415.86,42090.94
South West Khasi Hills,14392.43,1942.27,32.50,47.84,36.82,,30082.94,5274.88,0.00,46.29,16367.20,35357.82
West Garo Hills,53016.24,113031.10,10247.15,59.41,59.98,45.98,89234.47,188462.85,22283.97,58.77,176294.49,299981.29
West Jaintia Hills,23627.61,58133.41,22920.36,28.29,40.00,25.68,83512.85,145346.94,89252.84,32.91,104681.38,318112.63
West Khasi Hills,8662.70,20741.65,3556.57,41.09,49.03,35.43,21083.71,42305.26,10038.63,44.89,32960.92,73427.60
