district,cy_shg_amt,cy_shg_no,irregular_amt,irregular_no,npa_amt,npa_no,npa_pct,os_amt,os_no
East Garo Hills,1237.73,700,193.88,171,285.45,364,17.32,1647.70,1304
East Jaintia Hills,326.00,173,0.00,0,0.00,0,0.00,3006.79,1601
East Khasi Hills,1563.77,750,92.05,80,141.12,127,2.35,5997.30,3729
Eastern West Khasi Hills,576.73,181,22.82,15,29.93,25,1.14,2616.67,1191
North Garo Hills,1152.67,642,118.36,164,293.97,351,16.66,1764.63,1508
Ri Bhoi,815.84,254,212.01,167,183.88,117,5.37,3427.36,1969
South Garo Hills,419.81,274,198.45,251,319.64,410,32.43,985.56,983
South West Garo Hills,176.39,107,60.52,47,110.97,91,11.82,939.03,762
South West Khasi Hills,220.67,113,126.23,90,82.72,70,6.48,1277.49,812
West Garo Hills,2098.33,1017,212.21,252,480.97,445,11.07,4343.23,3212
West Jaintia Hills,998.66,376,45.26,30,116.73,65,2.94,3972.12,2100
West Khasi Hills,575.03,160,21.85,11,19.33,10,0.73,2651.56,1164
