district,atm_rural,atm_semi_urban,atm_urban,bc_fixed,bc_other,bc_total,branch_rural,branch_semi_urban,branch_urban,total_atm,total_branch
East Garo Hills,2,9,1,300,0,300,5,9,1,12,15
East Jaintia Hills,13,2,0,159,3,162,24,2,0,15,26
East Khasi Hills,35,22,242,422,636,1058,56,29,106,299,191
Eastern West Khasi Hills,1,3,1,54,1,55,7,5,1,5,13
North Garo Hills,7,4,0,89,0,89,8,5,0,11,13
Ri Bhoi,28,17,1,205,4,209,32,15,1,46,48
South Garo Hills,1,5,0,71,0,71,3,5,1,6,9
South West Garo Hills,8,2,0,253,0,253,12,3,0,10,15
South West Khasi Hills,9,2,0,55,0,55,9,1,0,11,10
West Garo Hills,10,43,1,799,5,804,20,20,6,54,46
West Jaintia Hills,7,27,2,192,6,198,18,24,3,36,45
West Khasi Hills,1,9,2,245,3,248,9,9,1,12,19
