District,Branch,Deposits,Advances,CD Ratio
Araria,,458455,339524,74.06
Arwal,,174191,66379,38.11
Aurangabad,,776272,482004,62.09
Banka,,405579,183074,45.14
Begusarai,,941637,601832,63.91
Bhagalpur,,1463832,592536,40.48
Bhojpur,,1474031,,37.49
Buxar,,630000,260060,41.28
Darbhanga,,1248686,514431,41.20
Gaya,,742778,,43.38
Gopalganj,,170681,345059,42.51
Jamui,,422593,,49.05
Jehanabad,,368738,132801,38.86
Kaimur (Bhabua),,447993,246591,55.04
Katihar,,662846,414776,62.58
Khagaria,,362229,207498,57.28
Kishanganj,,320560,216674,67.59
Lakhisarai,,312102,131918,42.27
Madhepura,,398439,221985,55.71
Madhubani,,899326,389675,43.33
Munger,,784530,256157,32.65
Muzaffarpur,,1991477,1204398,60.48
Nalanda,,1079986,395645,36.63
Nawada,,576795,268359,46.53
Pashchim Champaran,,724959,449915,62.06
Patna,,13729329,6596758,48.05
Purbi Champaran,,1045373,670664,64.16
Purnia,,773529,623069,80.55
Rohtas,,1022122,470163,46.00
Saharsa,,480574,245983,51.19
Samastipur,,1039211,569803,51.62
Saran,,1284028,488999,38.08
Sheikhpura,,260573,98104,37.65
Sheohar,,101634,70174,69.05
Sitamarhi,,607761,312306,51.39
Siwan,,1973121,552126,45.56
Supaul,,454563,237365,52.22
Vaishali,,1043102,693704,66.50
