district,aadhaar_card_seeded,rupaycard_account,rural,total,total_amount_rs_in_lac,urban,zero_balance_account
Alipurduar,9744.0,52275.0,34361.0,52860.0,1234.26,18499.0,14181.0
Bankura,183471.0,558713.0,791792.0,909666.0,16516.38,117874.0,244749.0
Birbhum,269459.0,649998.0,669285.0,896268.0,14437.0,226983.0,232722.0
Cooch Behar,192701.0,462713.0,403917.0,598219.0,7874.21,194302.0,157962.0
Darjeeling,170398.0,420562.0,269054.0,466338.0,10797.02,197284.0,132047.0
Hooghly,537841.0,659639.0,516513.0,889165.0,26047.99,372652.0,142700.0
Howrah,356116.0,565585.0,388260.0,661809.0,19218.84,273549.0,103985.0
Jalpaiguri,303555.0,632806.0,438994.0,846327.0,16476.91,407333.0,241556.0
Kolkata,286584.0,561576.0,11981.0,675681.0,47344.89,663700.0,118108.0
Malda,303714.0,679163.0,998237.0,1074018.0,18279.3,75781.0,181714.0
Murshidabad,537664.0,929079.0,911371.0,1391158.0,26924.05,479787.0,323802.0
Nadia,322029.0,883765.0,778953.0,1231654.0,31366.7,452701.0,337832.0
North 24 Parganas,557484.0,1266504.0,825274.0,1626443.0,55484.86,801169.0,336233.0
Paschim Medinipur,285168.0,730157.0,849629.0,1057290.0,23566.51,207661.0,184492.0
Purba Bardhaman,360422.0,852501.0,754518.0,1135764.0,30477.37,381246.0,257573.0
Purba Medinipur,205514.0,692753.0,796798.0,938017.0,21857.79,141219.0,162894.0
Purulia,167872.0,459352.0,570821.0,722434.0,11758.3,151613.0,233829.0
South 24 Parganas,446315.0,1007271.0,1252534.0,1559549.0,37872.59,307015.0,419891.0
Uttar Dinajpur,205946.0,662951.0,813296.0,1019655.0,8636.19,206359.0,341363.0
