district,Overall CD Ratio,cd_ratio_december_2015_amount_in_rs_crore,variation_over_june
Alipurduar,30.0,2977.86,8.0
Bankura,27.0,9387.47,0.0
Birbhum,35.0,7690.09,0.0
Cooch Behar,55.0,8220.69,8.0
Dakshin Dinajpur,56.0,2474.62,0.0
Darjeeling,55.0,10980.7,0.0
Hooghly,21.0,32920.99,5.0
Howrah,68.0,16290.7,0.0
Jalpaiguri,40.0,4897.14,0.0
Kolkata,91.0,250334.92,0.0
Malda,46.0,6384.22,4.0
Murshidabad,47.0,9321.64,3.0
Nadia,52.0,16342.49,-10.0
Paschim Medinipur,40.0,16767.08,3.0
Purba Bardhaman,37.0,42586.41,1.0
Purba Medinipur,48.0,15235.7,-1.0
Purulia,43.0,6358.63,2.0
Uttar Dinajpur,56.0,3684.03,0.0
