district,no_of_literacy_camps_under_taken_during_the_qt_as_per_rbi_guidelines_8,no_of_persons_participated_in_literacy_camps_during_the_quarter_544,out_of_persons_participated_no_of_persons_already_having_bank_account_at_the_time_of_attending_camp_306,out_of_persons_participated_no_of_persons_opened_bank_account_after_attending_the_camp_54,sl_no_1
Bankura,9.0,243.0,182.0,21.0,8.0
Birbhum,,,,,14.0
Cooch Behar,25.0,1213.0,1015.0,51.0,35.0
Dakshin Dinajpur,3.0,70.0,40.0,10.0,6.0
Darjeeling,14.0,1560.0,894.0,205.0,22.0
Hooghly,11.0,294.0,86.0,141.0,12.0
Howrah,10.0,485.0,310.0,148.0,10.0
Jalpaiguri,25.0,2501.0,1226.0,478.0,20.0
Malda,3.0,180.0,124.0,45.0,30.0
Murshidabad,11.0,445.0,320.0,52.0,38.0
Nadia,4.0,156.0,98.0,42.0,9.0
Purba Bardhaman,7.0,1004.0,924.0,45.0,13.0
Purulia,4.0,193.0,139.0,41.0,23.0
Uttar Dinajpur,3.0,246.0,152.0,26.0,4.0
