District,Col_1,Col_2,Col_3,Col_4
Araria,125,19,,
Arwal,279,238,175,
Aurangabad,835,113,280,
Banka,462,615,236,291
Begusarai,1078,211,310,
Bhagalpur,768,93,158,
Bhojpur,457,538,70,130
Buxar,704,1558,73,247
Darbhanga,89,132,30,58
Gaya,216,319,63,481
Gopalganj,177,331,478,720
Jamui,208,358,257,471
Jehanabad,71,26,18,
Kaimur (Bhabua),301,758,71,230
Katihar,105,313,248,239
Khagaria,510,728,39,92
Kishanganj,110,146,25,90
Lakhisarai,137,165,23,75
Madhepura,225,466,74,158
Madhubani,43,57,66,132
Munger,656,1021,130,177
Muzaffarpur,234,540,45,745
Nalanda,403,1102,207,285
Nawada,440,959,147,157
Pashchim Champaran,1371,714,249,246
Patna,770,1934,104,1034
Purbi Champaran,81,201,38,141
Purnia,250,860,36,889
Rohtas,424,1227,99,316
Saharsa,164,208,63,159
Samastipur,952,176,,
Saran,1271,1495,893,258
Sheikhpura,179,229,132,271
Sheohar,97,69,,
Sitamarhi,65,102,1036,522
Siwan,222,422,171,303
Supaul,514,712,50,144
Vaishali,202,174,49,219
