District,Branch Rural,Branch Semi-Urban,Branch Urban,Total Branch,ATM Rural,ATM Semi-Urban,ATM Urban,ATM Total,POS,Card Total
Araria,83,79,164,15,84,19,181,1678826,1003,
Arwal,1,62,11,11,242,,,,,
Aurangabad,121,45,31,197,48,51,43,142,1977201,771
Banka,41,48,872033,442,,,,,,
Begusarai,40,228,75,91,203,1751911,1811,,,
Bhagalpur,103,279,41,86,170,29,1855778,2546,,
Bhojpur,129,59,51,239,33,68,98,199,1808950,1757
Buxar,28,157,26,33,105,1184435,1257,,,
Darbhanga,64,68,246,41,28,162,231,2462356,2194,
Gaya,184,39,86,309,57,72,205,334,3096813,2887
Gopalganj,119,69,189,49,91,15,155,1997201,1084,
Jamui,74,48,123,14,45,4,63,1024650,793,
Jehanabad,58,10,27,95,13,19,44,76,865721,552
Kaimur (Bhabua),87,33,1,121,14,50,4,68,1183177,619
Kishanganj,63,23,24,110,37,31,77,1209271,550,
Lakhisarai,45,39,1,28,4,38,562,30,377,
Madhepura,41,78,1,13,69,88,1522930,913,,
Madhubani,126,155,1,41,114,28,183,2747633,1663,
Muzaffarpur,185,92,115,70,103,245,418,3134476,8468,
Nalanda,144,64,44,29,77,82,188,1820663,1414,
Nawada,84,58,2,61,76,1546909,814,,,
Purbi Champaran,116,140,41,297,45,93,93,231,3521486,1888
Rohtas,25,59,168,2175656,1772,,,,,
