District,Col_1,Col_2,Col_3,Col_4,Col_5
Araria,10,,,,
Arwal,3,,,,
Aurangabad,4,6,,,
Begusarai,15,2,12,,
Bhagalpur,8,3,,,
Bhojpur,5,7,,,
Buxar,11,12,,,
Darbhanga,19,3,,,
Gaya,13,9,13,,
Gopalganj,13,4,,,
Jamui,5,0,,,
Jehanabad,0,4,,,
Kaimur (Bhabua),9,14,2,,
Katihar,16,12,,,
Khagaria,18,4,14,,
Kishanganj,20,12,,,
Lakhisarai,6,0,0,,
Madhepura,17,14,,,
Madhubani,11,2,10,,
Munger,8,1,1,8,7
Muzaffarpur,40,15,32,14,
Nalanda,19,7,6,12,
Nawada,5,2,5,1,
Pashchim Champaran,2,7,,,
Purbi Champaran,16,6,,,
Purnia,38,4,26,,
Saharsa,22,20,,,
Saran,5,,,,
Sheikhpura,10,,,,
Sheohar,2,2,,,
Sitamarhi,9,7,,,
Siwan,29,12,,,
Vaishali,30,13,,,
