District,Branch,Deposits,Advances,CD Ratio
Araria,164,499271,414888,83.10
Arwal,62,193259,93785,48.53
Aurangabad,4,197,820988,66.81
Banka,,437753,127721,48.26
Begusarai,228,1000824,171251,71.19
Bhagalpur,279,1539989,706206,45.86
Bhojpur,239,1218632,521053,42.76
Buxar,157,682539,303194,44.42
Darbhanga,246,1378406,620334,45.00
Gaya,309,1898938,947976,49.92
Gopalganj,189,993030,418657,46.36
Jamui,,502400,234462,46.67
Jehanabad,,398852,174937,43.86
Kaimur (Bhabua),121,459457,277337,60.36
Katihar,188,727350,525514,72.25
Khagaria,120,403871,241649,59.83
Kishanganj,110,355993,269642,75.74
Lakhisarai,,347757,150461,43.27
Madhepura,120,400601,281744,70.33
Madhubani,282,995141,498479,50.09
Munger,140,792419,249381,31.47
Muzaffarpur,392,2109269,1470639,69.72
Nalanda,252,1807271,482346,40.85
Nawada,,597549,279858,46.83
Pashchim Champaran,223,779196,540299,69.34
Patna,953,15884720,7469864,47.03
Purbi Champaran,297,1734411,830340,74.31
Purnia,230,810738,728242,89.82
Rohtas,240,1110856,561494,50.55
Saharsa,107,500158,290624,58.1
Samastipur,292,1857961,689686,58.16
Sheikhpura,3,1,2,46.19
Sheohar,45,128751,87216,77.27
Sitamarhi,,677700,410758,60.61
Siwan,257,1352800,653884,48.34
Supaul,123,436446,288215,66.04
Vaishali,258,1962331,861083,71.98
