District,NRLM OS,NRLM Irregular,NRLM NPA,NULM OS,NULM NPA,PMEGP OS,PMEGP NPA,SHG OS,SHG NPA,SUI OS,SUI NPA
Anjaw,0,0,0,0,0,3,1,0,0,0,0
Changlang,0,0,0,0,0,17,9,48,36,11,6
Dibang Valley,0,0,0,0,0,0,0,0,0,1,0
East Kameng,1,0,0,4,0,17,9,51,0,4,0
East Siang,80,38,24,0,0,45,20,12,6,3,0
Kamle,0,0,0,0,0,0,0,1,1,0,0
Kra Daadi,81,2,0,0,0,24,14,82,0,0,0
Kurung Kumey,1,1,0,0,0,50,33,2,0,0,0
Lepa Rada,0,0,0,0,0,15,8,76,2,0,0
Lohit,37,2,0,0,0,19,0,6,3,2,0
Longding,0,0,0,0,0,2,1,35,35,2,0
Lower Dibang Valley,0,0,0,0,0,3,1,55,0,0,0
Lower Siang,0,0,0,0,0,5,0,3,0,0,0
Lower Subansiri,1,0,0,0,0,136,72,150,2,1,0
Namsai,5,3,0,0,0,25,6,53,1,3,0
Pakke Kessang,0,0,0,0,0,0,0,1,1,1,0
Papum Pare,292,104,76,58,2,300,124,204,65,181,2
Shi Yomi,0,0,0,0,0,0,0,18,0,0,0
Siang,0,0,0,0,0,17,10,16,0,0,0
Tawang,0,0,0,0,0,22,2,2,0,29,0
Tirap,1,0,0,0,0,10,5,9,4,3,0
Upper Siang,0,0,0,0,0,17,9,84,7,1,0
Upper Subansiri,1,1,1,1,0,90,46,64,5,1,0
West Kameng,0,0,0,4,0,56,19,64,34,28,0
West Siang,30,28,11,0,0,53,31,114,22,2,0
