District,CHRISTIANS,MUSLIMS,BUDDHISTS,SIKHS,ZORASTRIANS,JAINS,TOTAL LOAN TO MINORITY
Anjaw,11,1,6,0,0,0,18
Changlang,673,41,358,1,0,0,1073
Dibang Valley,64,9,24,1,0,0,98
East Kameng,1013,73,75,1,0,0,1162
East Siang,1248,296,274,7,0,1,1826
Kamle,3,3,0,0,0,0,6
Kra Daadi,250,8,10,8,1,1,278
Kurung Kumey,630,13,21,0,0,0,664
Lepa Rada,317,37,63,0,0,0,417
Lohit,123,43,151,3,0,0,320
Longding,1361,13,12,2,0,0,1388
Lower Dibang Valley,317,28,86,0,0,0,431
Lower Siang,253,15,7,2,0,0,277
Lower Subansiri,1975,209,97,1,0,0,2282
Namsai,165,30,1733,3,0,0,1931
Pakke Kessang,81,8,5,1,0,0,95
Papum Pare,12094,2369,1755,70,1,7,16296
Shi Yomi,54,0,142,0,0,0,196
Siang,11,1,5,0,0,0,17
Tawang,70,21,1709,11,0,0,1811
Tirap,1216,20,462,2,0,0,1700
Upper Siang,221,10,150,1,0,0,382
Upper Subansiri,469,50,89,2,0,1,611
West Kameng,347,68,3429,16,1,2,3863
West Siang,511,59,524,5,0,0,1099
