District,Micro TL,Micro WC,Small TL,Small WC,Medium TL,Medium WC,KVIC TL,KVIC WC,Others under MSMEs Ac,Total MSME Disbursement
Anjaw,5,0,0,0,0,0,0,0,3,8
Changlang,19,6,3,0,0,0,0,0,53,81
Dibang Valley,3,1,1,0,0,0,0,0,0,5
East Kameng,42,28,5,2,0,0,0,0,102,179
East Siang,431,40,14,3,0,1,0,0,93,582
Kamle,7,2,2,0,0,0,0,0,1,12
Kra Daadi,30,9,7,6,0,0,0,0,2,54
Kurung Kumey,20,8,4,0,0,0,0,0,1,33
Lepa Rada,4,1,0,0,0,0,0,0,5,10
Lohit,53,51,5,9,0,0,0,0,19,137
Longding,16,7,5,0,0,0,0,0,3,31
Lower Dibang Valley,25,3,4,0,0,0,0,0,10,42
Lower Siang,18,4,7,4,0,0,0,0,30,63
Lower Subansiri,48,26,11,4,1,0,0,0,54,144
Namsai,52,54,4,0,0,0,0,0,10,120
Pakke Kessang,7,2,1,0,0,0,0,0,16,26
Papum Pare,2274,428,140,59,10,2,3,0,303,3219
Shi Yomi,2,0,0,0,0,0,0,0,0,2
Siang,3,0,2,0,0,0,0,0,5,10
Tawang,38,22,15,8,0,0,0,0,0,83
Tirap,30,13,3,0,0,0,0,0,3,49
Upper Siang,20,3,5,2,0,0,0,0,8,38
Upper Subansiri,38,25,15,6,0,0,0,0,58,142
West Kameng,103,50,29,11,1,0,0,0,74,268
West Siang,48,28,5,0,1,0,0,0,36,118
