District,No. of KCC issued during quarter (Including renewal),KCC Disbursed Amount during quarter,Total Outstanding,No. of rupay card Issued,KCC Card activated,KCC Animal Husbandry Issued (Incl Renewal),KCC for animal husbandary Amount disbursed during quarter,AH KCC Total Outstanding,AH No. of rupay card Issued,AH Card Activated,KCC Fisheries Issued (Incl Renewal),KCC for Fishery Amount disbursed during quarter,Fishery KCC Outstanding,Fishery No. of rupay card Issued,Fishery Card Activated
Anjaw,14,7.43,88,0,0,0,0,0,0,0,0,0,0,0,0
Changlang,55,38.52,563,17,17,9,9,9,0,0,9,0,10,0,0
Dibang Valley,38,40.6,89,12,12,0,0,0,0,0,0,0,0,0,0
East Kameng,8,7.44,47,13,13,0,0,0,0,0,0,0,0,0,0
East Siang,128,104.2,1017,697,683,7,8.83,15,1,1,2,0,9,0,0
Kamle,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0
Kra Daadi,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0
Kurung Kumey,0,0,55,55,55,0,0,0,0,0,0,0,0,0,0
Lepa Rada,5,10.16,216,119,119,0,0,0,0,0,0,0,0,0,0
Lohit,369,286.29,1683,127,117,9,6.5,22,0,0,9,0,15,0,0
Longding,67,57.15,238,0,0,0,0,0,0,0,0,0,0,0,0
Lower Dibang Valley,176,147.38,602,115,115,0,0,0,0,0,0,0,1,0,0
Lower Siang,26,17.73,209,104,104,3,2.85,5,0,0,0,0,0,0,0
Lower Subansiri,26,52.72,944,606,598,0,0,0,0,0,0,0,2,1,1
Namsai,281,295.87,1007,138,128,0,0,12,0,0,0,0,0,0,0
Pakke Kessang,20,16.08,182,0,0,57,63.13,99,0,0,0,0,0,0,0
Papum Pare,120,51.88,5311,3787,3661,10,9.21,22,0,0,0,0,3,0,0
Shi Yomi,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Siang,4,3.48,47,24,24,0,0,0,0,0,0,0,0,0,0
Tawang,3,0.71,59,45,41,0,0,0,0,0,0,0,0,0,0
Tirap,71,51.07,391,17,17,2,2,2,0,0,2,0,2,0,0
Upper Siang,9,6.37,95,43,43,0,0,0,0,0,0,0,0,0,0
Upper Subansiri,28,12.23,464,210,210,0,0,0,0,0,0,0,0,0,0
West Kameng,59,32.4,368,179,166,18,26.75,44,0,0,0,0,2,0,0
West Siang,16,22.89,589,107,107,1,5,2,0,0,0,0,1,0,0
