District,Agriculture (NPS),Msme (NPS),Export Credit (NPS),Education (NPS),Housing (NPS),Personal Loans under NPS,Others NPS,Total Acp (NPS)
Anjaw,0,0,0,0,0,3,24,27
Changlang,0,0,0,0,2,39,386,427
Dibang Valley,0,0,0,0,1,26,265,292
East Kameng,0,0,0,0,19,13,146,178
East Siang,0,2,0,1,18,208,1038,1267
Kamle,0,0,0,0,0,3,14,17
Kra Daadi,0,0,0,0,5,187,1381,1573
Kurung Kumey,0,0,0,0,0,4,107,111
Lepa Rada,0,0,0,0,5,46,99,150
Lohit,1,0,0,0,3,64,280,348
Longding,0,0,0,0,0,15,252,267
Lower Dibang Valley,0,0,0,0,0,113,355,468
Lower Siang,0,0,0,0,5,22,117,144
Lower Subansiri,1,1,0,0,8,87,316,413
Namsai,0,0,0,0,3,54,205,262
Pakke Kessang,0,0,0,0,0,5,28,33
Papum Pare,9,24,0,1,510,761,5597,6902
Shi Yomi,0,0,0,0,0,5,30,35
Siang,0,0,0,0,0,20,29,49
Tawang,0,0,0,0,5,84,225,314
Tirap,0,0,0,0,1,26,266,293
Upper Siang,0,0,0,0,0,30,92,122
Upper Subansiri,0,0,0,0,17,86,376,479
West Kameng,3,0,0,0,7,93,561,664
West Siang,0,1,0,1,44,73,476,595
