District,Micro No.,Small No.,Medium No.,Other Msme No.,Msme Total No.
Anjaw,11,1,0,0,12
Changlang,331,4,0,0,335
Dibang Valley,13,6,0,0,19
East Kameng,288,16,0,5,309
East Siang,2407,112,57,196,2772
Kamle,0,0,0,0,0
Kra Daadi,307,20,0,1,328
Kurung Kumey,61,21,0,2,84
Lepa Rada,63,0,0,33,96
Lohit,236,21,0,32,289
Longding,62,5,0,0,67
Lower Dibang Valley,270,25,0,28,323
Lower Siang,59,15,0,59,133
Lower Subansiri,551,68,0,143,762
Namsai,322,40,0,22,384
Pakke Kessang,44,2,0,0,46
Papum Pare,10313,1411,241,719,12684
Shi Yomi,0,0,0,0,0
Siang,23,2,0,15,40
Tawang,382,109,1,6,498
Tirap,124,14,0,0,138
Upper Siang,63,15,0,44,122
Upper Subansiri,292,43,0,197,532
West Kameng,810,82,1,39,932
West Siang,691,26,1,84,802
