District,BHIM/UPI,BHIM Aadhaar,Bharat QR Code,IMPS,Cards (Debit & Credit),USSD
Anjaw,0,127970,0,1,1,18732
Changlang,0,1610965,0,63,6249,231774
Dibang Valley,0,59487,0,1,2877,10327
East Kameng,1113,399220,0,451,19951,64425
East Siang,88361412,1609992,619,9075553,53109,278610
Kamle,0,77134,0,0,0,11677
Kra Daadi,0,133249,0,0,32,18463
Kurung Kumey,0,83733,0,0,18375,16375
Lepa Rada,0,351752,0,3,3744,47174
Lohit,1482,707990,3,936,2005,106394
Longding,0,489830,0,0,146,44849
Lower Dibang Valley,61706697,521284,5,6899501,30469,98274
Lower Siang,2,400536,0,116,9,54009
Lower Subansiri,73368,936883,0,19251,17318,181833
Namsai,134,808150,971,671,3771,136083
Pakke Kessang,0,99849,0,0,11,16475
Papum Pare,234567122,4991703,5090,35214065,309845,1356788
Shi Yomi,0,49051,0,0,2517,9543
Siang,0,161217,0,0,5,20854
Tawang,51542559,458046,417,4586570,30049,90753
Tirap,0,733039,0,9,1541,116547
Upper Siang,0,273801,0,3,9077,38523
Upper Subansiri,623,563864,0,358,14642,85542
West Kameng,65973,1252640,312,13273,20297,256762
West Siang,69589,842138,53,17101,25431,150773
