District,Dep Rural,Dep Semi-Urban,Dep Urban,Total Deposit,Adv Rural,Adv Semi-Urban,Adv Urban,Total Advances,Cdr Rural,Cdr Semi-Urban,Cdr Urban,Overall CD Ratio
Anjaw,11652.77,0.0,0.0,11652.77,2664.07,0.0,0.0,2664.07,22.86,,0.0,22.86
Changlang,60719.42,2127.42,0.0,62846.84,15510.45,706.44,268.08,16484.97,25.54,33.21,0.0,26.23
Dibang Valley,70512.55,668.19,0.0,71180.74,1832.75,1329.54,73.64,3235.93,2.6,198.98,0.0,4.55
East Kameng,0.0,17147.72,0.0,17147.72,15.69,14700.12,10.76,14726.57,,85.73,0.0,85.88
East Siang,28152.08,90098.98,0.0,118251.06,6918.31,38203.77,216.18,45338.26,24.57,42.4,0.0,38.34
Kamle,2219.61,0.0,0.0,2219.61,920.81,0.0,0.0,920.81,41.49,,0.0,41.49
Kra Daadi,3638.41,0.0,0.0,3638.41,2463.26,5805.59,2978.73,11247.58,67.7,,0.0,309.13
Kurung Kumey,4677.38,1786.79,0.0,6464.17,3320.74,1396.61,0.0,4717.35,71.0,78.16,0.0,72.98
Lohit,6228.62,36652.61,0.0,42881.23,2594.97,12285.69,130.0,15010.66,41.66,33.52,0.0,35.01
Longding,11463.08,0.0,0.0,11463.08,9149.84,0.0,0.0,9149.84,79.82,,0.0,79.82
Lower Dibang Valley,1527.89,58949.75,0.0,60477.64,242.58,11508.4,68.39,11819.37,15.88,19.52,0.0,19.54
Lower Subansiri,10047.92,48099.56,0.0,58147.48,5427.0,21161.48,2.52,26591.0,54.01,44.0,0.0,45.73
Namsai,19951.67,28889.21,0.0,48840.88,7143.93,8987.61,0.0,16131.54,35.81,31.11,0.0,33.03
Pakke Kessang,2509.02,0.0,0.0,2509.02,1915.85,0.0,0.0,1915.85,76.36,,0.0,76.36
Papum Pare,78307.57,892069.99,0.0,970377.56,33876.82,283650.82,44.47,317572.11,43.26,31.8,0.0,32.73
Shi Yomi,4776.7,1257.14,0.0,6033.84,855.55,258.23,0.0,1113.78,17.91,20.54,0.0,18.46
Siang,9766.8,0.0,0.0,9766.8,2520.8,0.0,0.0,2520.8,25.81,,0.0,25.81
Tawang,23658.49,99499.25,0.0,123157.74,3191.4,10186.46,251.88,13629.74,13.49,10.24,0.0,11.07
Tirap,29224.5,1755.54,0.0,30980.04,13211.67,1076.16,17.67,14305.5,45.21,61.3,0.0,46.18
Upper Siang,29213.88,2036.97,0.0,31250.85,5390.33,680.15,0.47,6070.95,18.45,33.39,0.0,19.43
Upper Subansiri,11862.58,27379.34,0.0,39241.92,3789.72,18796.78,869.46,23455.96,31.95,68.65,0.0,59.77
West Kameng,95796.21,303.05,0.0,96099.26,26287.83,1203.06,216.74,27707.63,27.44,396.98,0.0,28.83
West Siang,45505.67,57009.29,0.0,102514.95999999999,15788.86,26091.21,67.93,41948.0,17.8,44.64,0.0,41.7
