district,Export,Education PS,Housing PS,Social Infra,Renewable,Other PS,OPS
Anjaw,0,0,5,0,0,0,5
Changlang,0,17,19,0,0,23,59
Dibang Valley,0,0,8,0,0,3,11
East Kameng,0,2,49,0,0,79,130
East Siang,0,28,107,0,0,409,544
Kamle,0,0,2,0,0,0,2
Kra Daadi,0,1,7,0,0,0,8
Kurung Kumey,0,0,16,0,0,15,31
Lepa Rada,0,0,46,0,0,80,126
Lohit,0,12,19,0,0,55,86
Longding,0,7,1,0,0,0,8
Lower Dibang Valley,0,6,8,0,0,69,83
Lower Siang,0,5,40,0,0,28,73
Lower Subansiri,0,20,88,0,0,258,366
Namsai,0,9,28,0,0,58,95
Pakke Kessang,0,1,20,0,0,0,21
Papum Pare,0,225,758,1,0,953,1937
Shi Yomi,0,2,2,0,0,26,30
Siang,0,0,4,0,0,16,20
Tawang,0,3,17,0,0,45,65
Tirap,0,8,37,0,0,18,63
Upper Siang,0,3,6,0,0,87,96
Upper Subansiri,0,16,82,0,0,128,226
West Kameng,0,13,56,0,0,25,94
West Siang,0,14,96,0,0,169,279
