District,Rural No.,Urban No.,Male No.,Female No.,Total PMJDY No.,No of Zero Balance A/C,Amt Deposits held in the A/C,No of Rupay Card Issued,No of Rupay Card Activated,No of Aadhaar Seeded
Anjaw,1835,0,809,1026,1835,66,135.9,1758,1485,713
Changlang,45843,0,20554,25283,45837,3017,1375.63,47402,38545,13201
Dibang Valley,522,0,264,260,524,37,112.51,408,263,293
East Kameng,1,10986,6845,8174,15019,1616,545.57,11563,10346,3989
East Siang,30465,23365,24398,29838,54236,6368,2483.24,54721,37457,15731
Kamle,1431,0,532,899,1431,13,88.36,1354,444,288
Kra Daadi,2946,0,1096,1848,2944,24,165.59,3830,1978,733
Kurung Kumey,3889,0,1451,2435,3886,571,264.58,4152,2247,1638
Lepa Rada,3092,12,1230,1859,3089,348,202.12,2826,2153,900
Lohit,3539,8007,5059,6758,11817,1131,502.98,11530,7431,5380
Longding,11033,0,3846,7186,11032,505,329.38,11258,8983,4318
Lower Dibang Valley,2167,11624,6282,7502,13784,986,540.81,14098,7040,6303
Lower Siang,21331,36,9848,11478,21326,864,535.97,16982,14075,2178
Lower Subansiri,4021,7674,5671,7298,12969,461,1020.24,13287,7506,3971
Namsai,7647,15496,10694,12422,23116,754,842.26,22946,18080,13567
Pakke Kessang,369,0,188,181,369,21,10.69,264,64,147
Papum Pare,23223,36192,26834,34023,60857,6269,49852.37,61767,41009,26661
Shi Yomi,1649,0,769,878,1647,142,222.64,2157,1305,774
Siang,4820,60,2551,2267,4818,122,377.53,3883,3465,1359
Tawang,2246,2487,2094,2999,5093,379,537.15,4511,2971,2226
Tirap,15515,0,6664,8847,15511,603,802.13,16858,11893,7604
Upper Siang,4390,31,1870,2520,4390,310,356.73,2336,1988,2949
Upper Subansiri,7291,13684,9388,11859,21247,2414,1523.89,22099,14873,8344
West Kameng,15244,17,7315,8595,15910,913,1151.64,15084,9333,5000
West Siang,4092,12114,7473,8752,16225,1558,1081.83,15292,10533,6343
