District,CHRISTIANS,MUSLIMS,BUDDHISTS,SIKHS,ZORASTRIANS,JAINS,TOTAL LOAN TO MINORITY
Anjaw,11,1,6,0,0,0,18
Changlang,551,24,194,4,0,0,773
Dibang Valley,20,4,11,25,0,0,60
East Kameng,220,12,15,1,0,0,248
East Siang,409,45,38,5,0,0,497
Kamle,3,3,0,0,0,0,6
Kra Daadi,97,2,5,8,0,0,112
Kurung Kumey,251,0,10,0,0,0,261
Lepa Rada,29,1,7,0,0,0,37
Lohit,73,19,69,2,0,0,163
Longding,1361,13,12,2,0,0,1388
Lower Dibang Valley,171,6,19,0,0,0,196
Lower Siang,253,15,7,2,0,0,277
Lower Subansiri,729,134,70,1,0,0,934
Namsai,110,22,1651,3,0,0,1786
Pakke Kessang,81,8,5,1,0,0,95
Papum Pare,5309,365,505,69,0,6,6254
Shi Yomi,24,0,51,0,0,0,75
Siang,11,1,5,0,0,0,17
Tawang,35,18,1517,7,0,0,1577
Tirap,923,13,36,2,0,0,974
Upper Siang,165,2,34,1,0,0,202
Upper Subansiri,81,18,7,1,0,1,108
West Kameng,262,43,2169,16,1,2,2493
West Siang,74,20,362,5,0,0,461
