district,During the Quarter Savings Linked,Target No.,During the Quarter Credit Linked,Current FY Savings Linked,Current FY Credit Linked,SHG O/S,SHG NPA,SHG NPA Amt. %
Anjaw,25,3,0,25,0,0,0,0
Changlang,722,5,0,724,2,48,36,37.81
Dibang Valley,9,2,0,11,0,0,0,0
East Kameng,153,136,0,160,51,51,0,0
East Siang,25,178,2,36,14,12,6,25.42
Kamle,10,21,0,10,0,1,1,100
Kra Daadi,124,64,0,124,1,82,0,0
Kurung Kumey,79,8,0,109,0,2,0,0
Lepa Rada,52,34,1,58,54,76,2,0.22
Lohit,78,1,5,85,28,6,3,26.91
Longding,137,109,0,137,0,35,35,100
Lower Dibang Valley,27,177,0,37,31,55,0,0
Lower Siang,17,152,3,31,3,3,0,0
Lower Subansiri,17,11,6,34,128,150,2,1.29
Namsai,33,137,1,48,36,53,1,0.02
Pakke Kessang,65,4,0,65,0,1,1,100
Papum Pare,37,98,6,90,96,204,65,22.26
Shi Yomi,6,18,0,20,0,18,0,0
Siang,65,5,1,68,14,16,0,0
Tawang,117,74,0,132,0,2,0,0
Tirap,581,75,0,581,5,9,4,8.31
Upper Siang,9,39,3,11,5,84,7,2.22
Upper Subansiri,70,161,0,78,37,64,5,5.76
West Kameng,139,142,0,170,26,64,34,24.38
West Siang,32,152,0,60,67,114,22,3.66
