District,Sishu No.,Sishu Amt,Kishore No.,Kishore Amt,Tarun No.,Tarun Amt,Total Mudra No.,Total Mudra Amt
Anjaw,1,0.5,3,4.32,2,8.84,6,13.66
Changlang,163,26.06,14,24.52,6,30.97,183,81.55
Dibang Valley,1,0.1,2,2.01,2,0.1,5,2.21
East Kameng,125,51.31,31,26.21,46,125.5,202,203.02
East Siang,68,50.39,53,131.35,25,233.49,146,415.23
Kamle,2,1,3,11.5,9,18.7,14,31.2
Kra Daadi,183,18.91,21,7.91,25,52.66,229,79.48
Kurung Kumey,1,0.5,22,0.96,6,26.46,29,27.92
Lepa Rada,2,0.54,2,1.83,8,30.7,12,33.07
Lohit,49,4.34,51,47.19,20,120.43,120,171.96
Longding,4,0.4,9,9.37,5,14.61,18,24.38
Lower Dibang Valley,35,3.9,5,6.38,3,12.92,43,23.2
Lower Siang,10,0.52,6,5.45,8,64.47,24,70.44
Lower Subansiri,22,113.94,63,144.46,51,239.84,136,498.24
Namsai,69,12.97,19,28.3,11,51.26,99,92.53
Pakke Kessang,18,8.56,6,4.91,3,23.14,27,36.61
Papum Pare,372,169.71,271,379.9,151,614.91,794,1164.52
Shi Yomi,0,0,0,0,3,4.78,3,4.78
Siang,0,0,1,0.08,3,12.75,4,12.83
Tawang,6,16.39,34,94.65,23,136.49,63,247.53
Tirap,25,2.72,14,18.55,12,45.83,51,67.1
Upper Siang,35,3.58,1,2.82,4,9.84,40,16.24
Upper Subansiri,35,3.64,43,32.88,25,106.16,103,142.68
West Kameng,88,36.1,78,148.23,50,371.46,216,555.79
West Siang,68,17.68,30,88.77,27,170.89,125,277.34
