district,SC Disb No,SC Disb Amt,SC O/S No,SC O/S Amt,ST Disb No,ST Disb Amt,ST O/S No,ST O/S Amt
Anjaw,2,15,13,56.35,114,594.1,492,1798.66
Changlang,50,166.63,234,735.81,667,3023.98,2720,8405.94
Dibang Valley,3,16.7,8,46.03,137,657.8,611,2080.54
East Kameng,11,25.85,23,91.29,415,1730.27,3157,7640.69
East Siang,37,91.92,165,444.57,1975,11431.32,7946,32394.84
Kamle,2,4,6,14.44,44,271.66,115,550.96
Kra Daadi,8,11.59,12,46.07,448,1688.58,1073,5322.4
Kurung Kumey,5,29.67,6,43.82,106,370.79,816,2408.26
Lepa Rada,1,5,6,21.27,424,2246.6,2382,7416.5
Lohit,25,102.45,65,226.79,1184,3506.64,4136,10339.31
Longding,8,72.28,16,102.93,116,607.55,231,1227.27
Lower Dibang Valley,46,157.45,146,312.42,561,2310.03,2207,6423.65
Lower Siang,14,55.36,55,197.95,295,1698.2,837,3595.96
Lower Subansiri,19,105.02,101,400.92,969,5637.77,6339,18440.22
Namsai,38,138.56,119,329.62,925,3286.45,2829,9930.21
Pakke Kessang,8,39.1,19,80.45,70,355.27,322,961.88
Papum Pare,202,1013.19,717,2551.01,6092,49190.05,28376,168002.84
Shi Yomi,1,9,2,17.55,39,172.45,306,871.5
Siang,6,53.5,10,59.25,197,939.02,504,2228.39
Tawang,16,105.13,50,175.21,390,3064.48,1889,8593.33
Tirap,8,30.27,35,142.04,554,2076.1,3191,6999.74
Upper Siang,7,59.85,27,138.37,275,1526.01,1281,4208.92
Upper Subansiri,15,50.85,55,189.15,922,5247.93,4327,16661.98
West Kameng,34,136.49,109,354.98,866,5378.98,4247,14910.78
West Siang,18,121.66,54,261.71,1465,8480.17,5303,23039.45
