District,Branch Rural,Branch Semi-Urban,Branch Urban,Total Branch,ATM Rural,ATM Semi-Urban,ATM Urban,Total ATM,"Out Of Total CSP Outlet, Fixed Point CSP Outlets","Out Of Total CSP Outlet,Other CSP Outlets",Total CSP Outlet
Anjaw,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,4.0,0.0,4.0
Changlang,7.0,3.0,0.0,0.0,8.0,9.0,0.0,17.0,47.0,6.0,53.0
Dibang Valley,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0
East Kameng,0.0,5.0,0.0,0.0,0.0,8.0,0.0,8.0,10.0,8.0,18.0
East Siang,5.0,11.0,0.0,0.0,0.0,11.0,0.0,11.0,65.0,14.0,79.0
Kamle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Kra Daadi,1.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,4.0,1.0,5.0
Kurung Kumey,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,3.0,6.0
Lohit,3.0,4.0,0.0,0.0,1.0,4.0,0.0,5.0,9.0,1.0,10.0
Longding,3.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,7.0,1.0,8.0
Lower Dibang Valley,2.0,5.0,0.0,0.0,3.0,2.0,0.0,5.0,50.0,9.0,59.0
Lower Subansiri,5.0,7.0,0.0,0.0,3.0,4.0,0.0,7.0,29.0,3.0,32.0
Namsai,4.0,5.0,0.0,0.0,3.0,0.0,0.0,3.0,25.0,7.0,32.0
Pakke Kessang,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
Papum Pare,13.0,46.0,0.0,0.0,22.0,90.0,0.0,112.0,83.0,4.0,87.0
Shi Yomi,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0
Siang,4.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,21.0,0.0,21.0
Tawang,3.0,7.0,0.0,10.0,2.0,11.0,0.0,13.0,13.0,1.0,14.0
Tirap,3.0,2.0,0.0,5.0,3.0,0.0,0.0,3.0,16.0,0.0,16.0
Upper Siang,4.0,3.0,0.0,7.0,1.0,0.0,0.0,1.0,3.0,4.0,7.0
Upper Subansiri,7.0,2.0,0.0,9.0,2.0,4.0,0.0,6.0,13.0,0.0,13.0
West Kameng,15.0,1.0,0.0,16.0,34.0,7.0,0.0,41.0,34.0,6.0,40.0
West Siang,11.0,8.0,0.0,19.0,8.0,8.0,0.0,16.0,33.0,16.0,49.0
