district,Target in numbers Implementing Agency-wise,Margin Money (Rs. in lacs)
Anjaw,0,6
Changlang,2,18
Dibang Valley,2,15
East Kameng,2,24
East Siang,3,36
Kamle,2,15
Kra Daadi,2,15
Kurung Kumey,2,15
Lepa Rada,1,15
Lohit,2,21
Longding,2,15
Lower Dibang Valley,3,24
Lower Siang,2,15
Lower Subansiri,3,30
Namsai,2,30
Pakke Kessang,1,12
Papumpare (ICC),5,63
Papumpare (Yupia),6,63
Shi Yomi,2,15
Siang,1,15
Tawang,3,30
Tirap,2,18
Upper Siang,2,15
Upper Subansiri,2,15
West Kameng,3,30
West Siang,3,30
