district,Agriculture NPS,Education NPS,Housing NPS,Personal Loan,Other NPS,Total NPS O/S,Total NPS NPA
Anjaw,0,0,0,525,92,617,1
Changlang,0,0,11,2745,1009,3765,26
Dibang Valley,0,0,1,439,383,823,52
East Kameng,0,0,80,1797,882,2759,85
East Siang,0,4,77,4635,3787,8503,147
Kamle,0,0,1,140,35,176,3
Kra Daadi,0,0,20,919,1384,2323,70
Kurung Kumey,0,0,0,459,355,814,62
Lepa Rada,0,0,13,1021,562,1596,11
Lohit,1,0,8,2014,922,2945,34
Longding,0,0,0,1288,540,1828,9
Lower Dibang Valley,0,0,1,1437,1663,3101,50
Lower Siang,0,0,26,942,320,1288,4
Lower Subansiri,0,0,37,2920,1527,4484,262
Namsai,1,0,5,1683,720,2409,115
Pakke Kessang,0,0,1,251,118,370,10
Papum Pare,5,14,767,16085,12503,29374,1541
Shi Yomi,0,0,1,145,103,249,29
Siang,0,0,0,348,97,445,1
Tawang,0,0,14,1514,1443,2971,66
Tirap,0,0,1,2220,862,3083,30
Upper Siang,0,0,0,882,422,1304,10
Upper Subansiri,0,0,87,2306,1077,3470,133
West Kameng,3,0,20,3245,1543,4811,58
West Siang,0,2,70,2637,1592,4301,85
