district,Number of operative CASA,Number of Aadhaar seeded CASA,Number of Authenticated CASA
Anjaw,13036,2901,4217
Changlang,124676,43607,55883
Dibang Valley,6906,3676,4290
East Kameng,62894,25654,27686
East Siang,208489,91874,53074
Kamle,6467,1734,2224
Kra Daadi,9391,2557,3142
Kurung Kumey,27398,20736,19646
Lepa Rada,24270,13762,9216
Lohit,50691,20943,20479
Longding,31556,6861,10875
Lower Dibang Valley,54636,28254,22621
Lower Siang,79041,16376,4552
Lower Subansiri,74315,34590,22559
Namsai,65566,38818,31097
Pakke Kessang,4282,1685,1292
Papum Pare,387508,195479,178666
Shi Yomi,8632,5198,4839
Siang,18965,9128,3503
Tawang,54806,18367,19760
Tirap,54044,22220,20113
Upper Siang,43135,28472,19511
Upper Subansiri,86671,46989,30388
West Kameng,82272,29936,28947
West Siang,79543,41973,27045
