District,No. of camps conducted during the Quarter,No. of rural branches in district
Anjaw,1,2
Changlang,0,7
Dibang Valley,1,2
East Kameng,2,2
East Siang,2,6
Kamle,0,1
Kra Daadi,0,1
Kurung Kumey,0,4
Lohit,3,3
Longding,2,3
Lower Dibang Valley,2,3
Lower Subansiri,0,6
Namsai,2,3
Pakke Kessang,0,1
Papum Pare,3,13
Shi Yomi,0,1
Siang,0,4
Tawang,1,6
Tirap,3,4
Upper Siang,0,7
Upper Subansiri,0,5
West Kameng,2,14
West Siang,0,11
