District,Housing Loan (PS) O/S,Housing Loan (NPS) O/S,Rural Housing Loan O/S,Housing Loan Eligible under PMAY O/S,Current Year Disbursed under PMAY,PMAY O/S
Anjaw,0,1,6,0,0,0
Changlang,17,5,12,0,0,0
Dibang Valley,3,1,0,0,0,0
East Kameng,49,62,103,0,0,0
East Siang,91,69,79,8,7,7
Kamle,2,0,2,0,0,0
Kra Daadi,0,5,0,0,0,0
Kurung Kumey,16,0,0,0,0,0
Lepa Rada,46,9,38,2,0,2
Lohit,31,2,18,25,11,13
Longding,1,1,2,0,0,0
Lower Dibang Valley,7,0,5,0,0,0
Lower Siang,40,9,47,0,0,0
Lower Subansiri,88,26,56,0,0,1
Namsai,32,3,25,6,6,7
Pakke Kessang,20,1,21,1,0,1
Papum Pare,716,804,815,28,23,30
Shi Yomi,2,1,2,0,0,0
Siang,4,0,3,0,0,0
Tawang,14,5,7,0,0,2
Tirap,37,2,6,0,0,0
Upper Siang,6,0,2,0,0,0
Upper Subansiri,81,73,128,0,0,0
West Kameng,50,15,33,0,0,0
West Siang,95,60,116,3,0,5
