District,Farm Credit Crop,Farm Credit Term Loan,Agri Infra,Ancillary No,Agri Total
Anjaw,72,0,0,0,72
Changlang,377,373,0,0,750
Dibang Valley,7,14,0,0,21
East Kameng,3,1410,0,0,1413
East Siang,120,683,5,2,810
Kamle,31,1,0,0,32
Kra Daadi,44,0,0,0,44
Kurung Kumey,5,28,0,0,33
Lepa Rada,45,479,0,0,524
Lohit,953,522,1,0,1476
Longding,124,40,0,0,164
Lower Dibang Valley,191,137,0,0,328
Lower Siang,4,4,0,0,8
Lower Subansiri,246,768,0,0,1014
Namsai,155,444,0,187,786
Pakke Kessang,137,1,0,0,138
Papum Pare,3669,1688,18,59,5434
Shi Yomi,0,0,0,0,0
Siang,13,0,0,0,13
Tawang,1,16,0,0,17
Tirap,159,1205,0,0,1364
Upper Siang,0,64,0,0,64
Upper Subansiri,42,676,0,1,719
West Kameng,91,616,0,0,707
West Siang,401,193,1,1,596
