District,Small and Marginal Farmers,Scheduled Caste,Scheduled Tribes,DRI Scheme,Self Help Groups,Women Beneficiaries,Minority Communities,PMJDY,Others,Total Weaker Section
Anjaw,88,0,96,0,0,18,0,0,1,203
Changlang,633,87,329,0,10,195,133,1,59,1447
Dibang Valley,79,0,88,0,0,20,3,0,1,191
East Kameng,42,3,82,0,0,16,3,0,4,150
East Siang,287,34,442,20,1,361,227,67,1719,3158
Kamle,33,0,22,0,0,18,0,1,1,75
Kra Daadi,53,7,161,0,1,32,2,0,91,347
Kurung Kumey,0,0,10,0,0,1,35,0,1,47
Lepa Rada,21,1,58,0,13,3,1,0,2,99
Lohit,1692,9,1717,1,2,703,37,0,8,4169
Longding,241,3,6,0,1,56,238,0,42,587
Lower Dibang Valley,476,55,417,0,4,130,14,0,1,1097
Lower Siang,18,0,27,0,0,11,20,0,3,79
Lower Subansiri,303,17,392,1,107,183,187,7,139,1336
Namsai,883,41,779,0,2,241,739,10,14,2709
Pakke Kessang,184,1,148,0,0,76,20,0,1,430
Papum Pare,3120,188,5457,117,990,3348,4961,216,8417,26814
Shi Yomi,0,0,8,0,0,1,2,0,13,24
Siang,0,0,29,0,0,0,0,0,5,34
Tawang,24,9,249,2,43,35,456,0,24,842
Tirap,356,3,325,0,4,174,65,2,16,945
Upper Siang,0,0,44,0,0,21,2,0,8,75
Upper Subansiri,73,5,161,0,0,20,2,1,79,341
West Kameng,305,10,543,17,127,129,754,19,166,2070
West Siang,464,9,787,21,0,223,54,46,130,1734
