district,Agriculture NPS,Education NPS,Housing NPS,Personal Loan,Other NPS,Total NPS NPA
Anjaw,0,0,0,0,1,1
Changlang,0,0,0,3,23,26
Dibang Valley,0,0,0,0,52,52
East Kameng,0,0,0,0,85,85
East Siang,0,0,2,37,108,147
Kamle,0,0,0,0,3,3
Kra Daadi,0,0,1,9,60,70
Kurung Kumey,0,0,0,17,45,62
Lepa Rada,0,0,0,4,7,11
Lohit,0,0,0,13,21,34
Longding,0,0,0,0,9,9
Lower Dibang Valley,0,0,0,11,39,50
Lower Siang,0,0,0,0,4,4
Lower Subansiri,0,0,0,37,225,262
Namsai,1,0,0,52,62,115
Pakke Kessang,0,0,0,0,10,10
Papum Pare,3,1,5,484,1048,1541
Shi Yomi,0,0,0,14,15,29
Siang,0,0,0,1,0,1
Tawang,0,0,0,56,10,66
Tirap,0,0,0,7,23,30
Upper Siang,0,0,0,4,6,10
Upper Subansiri,0,0,1,10,122,133
West Kameng,2,0,0,22,34,58
West Siang,0,0,1,21,63,85
