District,Enrolment under PMJJBY,eligible cases under PMJJBY,renewals under PMJJBY,Enrolment under PMSBY,eligible cases under PMSBY,renewals under PMSBY,Enrolment under APY,Total Enrolment No.
Anjaw,1273,7349,638,1814,10582,1105,17,3104
Changlang,7369,46521,4049,21761,72172,14910,1689,30819
Dibang Valley,855,2994,712,1136,4102,910,29,2020
East Kameng,1720,25105,787,2954,34091,1448,400,5074
East Siang,9953,118714,5236,26569,150740,14804,2178,38700
Kamle,271,3438,246,442,5072,418,0,713
Kra Daadi,393,4529,241,545,7343,375,9,947
Kurung Kumey,713,5568,350,955,8084,523,98,1766
Lepa Rada,1291,11888,786,1735,16178,1052,64,3090
Lohit,6555,25333,3429,10396,35501,6589,669,17620
Longding,1093,14861,351,3744,24515,1613,152,4989
Lower Dibang Valley,3904,22254,2439,7052,30886,4392,896,11852
Lower Siang,5157,52496,3061,18717,63051,10942,1343,25217
Lower Subansiri,4699,42042,3177,6573,55093,4800,391,11663
Namsai,7290,23562,4149,18168,36954,12860,1763,27221
Pakke Kessang,87,2515,81,111,3701,102,4,202
Papum Pare,22072,184144,16396,38618,237218,29341,4460,65150
Shi Yomi,182,3109,139,390,4324,256,3,575
Siang,925,12363,520,1871,16601,1207,187,2983
Tawang,5247,32387,4559,7041,41645,6039,594,12882
Tirap,1809,18796,1447,3251,28699,2308,143,5203
Upper Siang,1823,18768,1542,3345,25359,2369,90,5258
Upper Subansiri,4598,40655,3298,6438,54136,4600,305,11341
West Kameng,9044,51193,6804,13823,67622,10774,1394,24261
West Siang,3413,42701,1902,5794,56766,3392,683,9890
