District,O/S No.,O/S Amt.,CY Disb No.,CY Disb Amt.
Anjaw,164,618.6,43,238.45
Changlang,1099,3495.02,338,1401.44
Dibang Valley,264,1037.48,98,576.66
East Kameng,823,3331.93,215,784.43
East Siang,4604,12665.26,1156,4514.51
Kamle,67,188.77,18,101.17
Kra Daadi,770,3778.23,479,1920.23
Kurung Kumey,437,1286.98,93,341.88
Lepa Rada,538,1817.98,102,715.62
Lohit,1720,3834.44,549,1393.85
Longding,420,1400.27,185,659.35
Lower Dibang Valley,992,2891.23,273,1136.16
Lower Siang,237,1080.65,83,469.78
Lower Subansiri,1831,6258.67,367,2029.71
Namsai,1158,3696.03,466,1421.65
Pakke Kessang,163,382.77,34,105.47
Papum Pare,17678,59134.96,4368,18393.06
Shi Yomi,87,263.42,7,41.3
Siang,108,602.36,40,278.87
Tawang,625,2596.16,164,993.14
Tirap,972,2984.57,308,1141.34
Upper Siang,371,1381.77,112,679.91
Upper Subansiri,1225,5086.41,340,1728.12
West Kameng,1510,5374.59,496,2303.88
West Siang,1687,6287.06,389,1987.9
