District,Sishu,Kishore,Tarun,Total Mudra,MUDRA NPA Pct
Anjaw,1,6,3,10,15.78
Changlang,304,20,11,335,9.64
Dibang Valley,5,8,3,16,8.07
East Kameng,164,62,72,298,28.49
East Siang,286,183,67,536,11.84
Kamle,3,29,10,42,62.46
Kra Daadi,232,65,32,329,31.26
Kurung Kumey,4,59,19,82,57.14
Lepa Rada,38,8,10,56,24.66
Lohit,139,129,51,319,9.06
Longding,37,15,10,62,45.35
Lower Dibang Valley,68,10,3,81,0.4
Lower Siang,15,24,10,49,9.66
Lower Subansiri,175,202,107,484,24.14
Namsai,109,74,27,210,2.28
Pakke Kessang,21,18,5,44,5.32
Papum Pare,1107,1089,566,2762,18.07
Shi Yomi,0,8,3,11,85.28
Siang,0,12,5,17,23.27
Tawang,52,152,114,318,9.32
Tirap,72,34,18,124,20.04
Upper Siang,44,24,4,72,23.1
Upper Subansiri,69,187,50,306,30.95
West Kameng,179,328,172,679,2.44
West Siang,366,140,70,576,17.56
