District,Farm Credit Crop,Farm Credit Term Loan,Agri Infra,Ancillary No,Agri Total
Anjaw,88,0,0,0,88
Changlang,658,450,0,0,1108
Dibang Valley,94,72,0,0,166
East Kameng,66,1528,0,1,1595
East Siang,1066,1132,1,45,2244
Kamle,0,1,0,1,2
Kra Daadi,42,1,0,1,44
Kurung Kumey,185,260,0,0,445
Lepa Rada,232,556,0,0,788
Lohit,1753,434,0,1,2188
Longding,316,40,0,0,356
Lower Dibang Valley,668,206,0,5,879
Lower Siang,214,7,0,0,221
Lower Subansiri,1004,1860,1,2,2867
Namsai,1081,385,0,56,1522
Pakke Kessang,184,2,0,0,186
Papum Pare,6403,3376,81,33,9893
Shi Yomi,121,62,0,0,183
Siang,47,23,0,0,70
Tawang,65,107,0,6,178
Tirap,418,1304,0,0,1722
Upper Siang,117,150,0,0,267
Upper Subansiri,522,871,0,5,1398
West Kameng,899,990,1,6,1896
West Siang,210,283,8,2,503
